id,mean_acc_[M0],current_acc_[M0],training_time_[M0],testing_time_[M0],total_running_time_[M0],model_size_[M0]
1000,1.000000,1.000000,0.027715,0.003665,0.031381,395.652344
1999,0.511000,0.511000,0.133707,3.562624,3.696331,393.261719
2999,0.515000,0.519000,0.234818,6.973914,7.208732,394.433594
3999,0.504667,0.484000,0.336164,10.433964,10.770128,393.003906
4999,0.504750,0.505000,0.436821,13.860115,14.296936,394.199219
5999,0.504800,0.505000,0.538359,17.281640,17.819999,394.199219
6999,0.507167,0.519000,0.639538,20.674528,21.314067,393.003906
7999,0.509286,0.522000,0.740936,23.968632,24.709568,394.199219
8999,0.510375,0.518000,0.842852,27.267336,28.110188,393.003906
9999,0.510111,0.508000,0.944336,30.556320,31.500656,393.003906
10999,0.509600,0.505000,1.046309,33.941009,34.987317,394.199219
11999,0.509364,0.507000,1.147862,37.504983,38.652845,393.003906
12999,0.508167,0.495000,1.248205,40.734834,41.983038,394.199219
13999,0.508923,0.518000,1.354459,44.140334,45.494793,394.199219
14999,0.510143,0.526000,1.458850,47.548485,49.007334,393.003906
15999,0.510667,0.518000,1.561349,50.906285,52.467634,394.199219
16999,0.510687,0.511000,1.687699,54.900445,56.588144,393.003906
17999,0.509471,0.490000,1.792436,58.580678,60.373114,393.003906
18999,0.510611,0.530000,1.897076,62.180574,64.077649,394.199219
19999,0.510211,0.503000,2.001465,65.836242,67.837708,395.394531
20999,0.510650,0.519000,2.104400,69.262950,71.367350,394.433594
21999,0.508857,0.473000,2.207050,72.847721,75.054771,394.433594
22999,0.508091,0.492000,2.311254,76.280126,78.591380,395.019531
23999,0.508391,0.515000,2.416548,79.851062,82.267610,394.433594
24999,0.508083,0.501000,2.519310,83.440991,85.960301,395.019531
25999,0.507240,0.487000,2.622053,86.784329,89.406382,395.019531
26999,0.506923,0.499000,2.725348,90.443323,93.168671,394.433594
27999,0.505667,0.473000,2.831568,94.066900,96.898468,395.019531
28999,0.504750,0.480000,2.942365,97.877460,100.819825,394.433594
29999,0.505034,0.513000,3.057456,101.739835,104.797290,394.433594
30999,0.505567,0.521000,3.172508,105.447302,108.619809,395.019531
31999,0.505097,0.491000,3.284463,109.169549,112.454012,394.433594
32999,0.504594,0.489000,3.396477,113.078969,116.475446,394.808594
33999,0.505030,0.519000,3.509425,117.001209,120.510634,394.808594
34999,0.505618,0.525000,3.620443,120.664249,124.284693,393.613281
35999,0.506514,0.537000,3.747451,124.990093,128.737543,394.808594
36999,0.505917,0.485000,3.882561,129.383105,133.265666,393.613281
37999,0.505757,0.500000,4.015535,133.526951,137.542486,393.613281
38999,0.505342,0.490000,4.144832,137.844144,141.988977,394.808594
39999,0.505333,0.505000,4.280271,142.170145,146.450416,393.613281
