id,mean_acc_[M0],current_acc_[M0],training_time_[M0],testing_time_[M0],total_running_time_[M0],model_size_[M0]
100,1.000000,1.000000,0.043758,0.000738,0.044496,45.817383
199,0.420000,0.420000,0.117519,0.061410,0.178929,83.493164
299,0.525000,0.630000,0.216995,0.147698,0.364693,122.442383
399,0.500000,0.450000,0.330420,0.248768,0.579189,162.938477
499,0.497500,0.490000,0.468913,0.373534,0.842446,202.602539
599,0.494000,0.480000,0.669219,0.560098,1.229317,242.651367
699,0.488333,0.460000,0.876783,0.755825,1.632608,281.924805
799,0.500000,0.570000,1.108232,0.972861,2.081093,319.727539
899,0.500000,0.500000,1.402552,1.251788,2.654340,358.125977
999,0.510000,0.590000,1.728386,1.562394,3.290780,397.696289
1099,0.508000,0.490000,2.079308,1.895020,3.974328,398.877930
1199,0.506364,0.490000,2.449663,2.248509,4.698172,398.268555
1299,0.500833,0.440000,2.831842,2.608570,5.440412,397.362305
1399,0.497692,0.460000,3.183797,2.941773,6.125570,397.362305
1499,0.499286,0.520000,3.554670,3.291952,6.846622,397.362305
1599,0.504000,0.570000,3.936478,3.653136,7.589614,397.586914
1699,0.500625,0.450000,4.281464,3.978525,8.259989,397.586914
1799,0.504118,0.560000,4.609736,4.289891,8.899627,397.586914
1899,0.501667,0.460000,4.945068,4.606027,9.551095,397.586914
1999,0.502632,0.520000,5.267486,4.912858,10.180344,397.586914
2099,0.506000,0.570000,5.617319,5.243230,10.860550,398.768555
2199,0.504286,0.470000,5.968914,5.575667,11.544581,398.768555
2299,0.504091,0.500000,6.291039,5.879396,12.170435,398.768555
2399,0.503043,0.480000,6.706859,6.272221,12.979080,398.768555
2499,0.500417,0.440000,7.141444,6.679592,13.821037,398.768555
2599,0.500400,0.500000,7.563889,7.082247,14.646136,399.043945
2699,0.503462,0.580000,7.939847,7.439067,15.378914,399.043945
2799,0.502222,0.470000,8.315036,7.793680,16.108716,399.043945
2899,0.502143,0.500000,8.690846,8.152118,16.842965,399.043945
2999,0.504138,0.560000,9.041216,8.485268,17.526483,399.043945
3099,0.504000,0.500000,9.406110,8.831916,18.238026,399.057617
3199,0.504516,0.520000,9.770786,9.177491,18.948277,399.057617
3299,0.503437,0.470000,10.093963,9.481544,19.575506,399.057617
3399,0.504242,0.530000,10.441431,9.807879,20.249310,399.057617
3499,0.505882,0.560000,10.788080,10.137665,20.925745,399.057617
3599,0.503429,0.420000,11.110423,10.440633,21.551056,399.057617
3699,0.501389,0.430000,11.456396,10.765561,22.221957,399.057617
3799,0.501622,0.510000,11.791688,11.082276,22.873965,399.057617
3899,0.499474,0.420000,12.112315,11.385235,23.497551,399.057617
3999,0.500769,0.550000,12.457218,11.711893,24.169110,399.057617
