id,mean_acc_[M0],current_acc_[M0],training_time_[M0],testing_time_[M0],total_running_time_[M0],model_size_[M0]
100,1.000000,1.000000,0.018152,0.000402,0.018554,10.818359
199,0.820000,0.820000,0.049406,0.024841,0.074248,10.841797
299,0.850000,0.880000,0.068571,0.044659,0.113230,10.841797
399,0.860000,0.880000,0.096932,0.065429,0.162361,10.841797
499,0.852500,0.830000,0.115695,0.084835,0.200530,10.841797
599,0.858000,0.880000,0.142808,0.104590,0.247398,10.841797
699,0.850000,0.810000,0.161374,0.123853,0.285227,10.841797
799,0.855714,0.890000,0.188836,0.143544,0.332380,3.102539
899,0.833750,0.680000,0.205774,0.155281,0.361055,18.064453
999,0.832222,0.820000,0.223113,0.172057,0.395170,18.064453
1099,0.820000,0.710000,0.248083,0.183246,0.431329,25.101562
1199,0.811818,0.730000,0.265144,0.193906,0.459050,25.101562
1299,0.809167,0.780000,0.290214,0.209875,0.500090,25.101562
1399,0.805385,0.760000,0.307004,0.225892,0.532896,25.101562
1499,0.803571,0.780000,0.323781,0.241896,0.565678,25.101562
1599,0.803333,0.800000,0.350864,0.259646,0.610509,25.101562
1699,0.805000,0.830000,0.371885,0.279838,0.651723,25.101562
1799,0.806471,0.830000,0.390171,0.297530,0.687700,25.101562
1899,0.810556,0.880000,0.414907,0.313146,0.728053,25.101562
1999,0.812105,0.840000,0.431782,0.329229,0.761011,25.101562
2099,0.813000,0.830000,0.457053,0.345318,0.802370,25.101562
2199,0.815238,0.860000,0.473636,0.361144,0.834780,25.101562
2299,0.816364,0.840000,0.490487,0.377583,0.868070,25.101562
2399,0.815652,0.800000,0.517613,0.394412,0.912025,25.101562
2499,0.818333,0.880000,0.534668,0.410708,0.945376,25.101562
2599,0.822000,0.910000,0.551433,0.426593,0.978026,25.101562
2699,0.822692,0.840000,0.576334,0.442680,1.019014,25.101562
2799,0.824444,0.870000,0.592943,0.458560,1.051503,25.101562
2899,0.822500,0.770000,0.609596,0.474594,1.084190,25.101562
2999,0.822759,0.830000,0.634641,0.491117,1.125758,25.101562
3099,0.824667,0.880000,0.651216,0.507064,1.158280,25.101562
3199,0.826129,0.870000,0.679186,0.525130,1.204316,25.101562
3299,0.828125,0.890000,0.700986,0.546172,1.247158,25.101562
3399,0.829394,0.870000,0.717775,0.562264,1.280039,25.101562
3499,0.828235,0.790000,0.743181,0.578636,1.321817,25.101562
3599,0.829429,0.870000,0.759747,0.594493,1.354240,25.101562
3699,0.830278,0.860000,0.785168,0.610878,1.396046,25.101562
3799,0.831351,0.870000,0.801900,0.626827,1.428727,25.101562
3899,0.833421,0.910000,0.821298,0.645255,1.466553,25.101562
3999,0.834359,0.870000,0.846688,0.661780,1.508468,25.101562
4099,0.834250,0.830000,0.863915,0.678332,1.542247,25.101562
4199,0.836098,0.910000,0.880646,0.694373,1.575019,25.101562
4299,0.837143,0.880000,0.905646,0.710391,1.616037,25.101562
4399,0.836977,0.830000,0.922321,0.726444,1.648765,25.101562
4499,0.836364,0.810000,0.947742,0.742675,1.690417,25.101562
4599,0.837556,0.890000,0.964275,0.758403,1.722678,25.101562
4699,0.838478,0.880000,0.981516,0.774981,1.756497,25.101562
4799,0.839574,0.890000,1.016580,0.796752,1.813332,25.101562
4899,0.840208,0.870000,1.037923,0.816965,1.854888,25.101562
4999,0.840000,0.830000,1.063578,0.841123,1.904701,25.101562
5099,0.840600,0.870000,1.097183,0.860965,1.958148,25.101562
5199,0.841569,0.890000,1.114450,0.877365,1.991815,25.101562
5299,0.839808,0.750000,1.142183,0.892287,2.034470,31.449219
5399,0.839057,0.800000,1.159063,0.901701,2.060764,33.390625
5499,0.839630,0.870000,1.175918,0.911836,2.087754,33.414062
5599,0.839636,0.840000,1.200710,0.921427,2.122137,33.414062
5699,0.838393,0.770000,1.217853,0.931552,2.149405,34.195312
5799,0.837018,0.760000,1.234982,0.940944,2.175926,34.195312
5899,0.835690,0.760000,1.260046,0.950677,2.210723,42.484375
5999,0.835424,0.820000,1.277187,0.960275,2.237462,43.289062
6099,0.834333,0.770000,1.294861,0.969821,2.264682,43.335938
6199,0.834426,0.840000,1.320695,0.979902,2.300598,43.335938
6299,0.834677,0.850000,1.337787,0.989875,2.327662,43.335938
6399,0.834762,0.840000,1.354944,0.999755,2.354700,43.335938
6499,0.834688,0.830000,1.380353,1.009043,2.389396,43.335938
6599,0.834769,0.840000,1.397344,1.018472,2.415817,43.335938
6699,0.835152,0.860000,1.415181,1.028150,2.443331,43.335938
6799,0.834328,0.780000,1.447577,1.039540,2.487117,43.335938
6899,0.834118,0.820000,1.466793,1.050210,2.517002,43.335938
6999,0.833913,0.820000,1.486011,1.060483,2.546494,43.335938
7099,0.834429,0.870000,1.511988,1.070020,2.582008,43.335938
7199,0.834366,0.830000,1.529159,1.079489,2.608648,43.335938
7299,0.833750,0.790000,1.546143,1.088948,2.635091,43.335938
7399,0.833562,0.820000,1.571471,1.098338,2.669809,43.335938
7499,0.833784,0.850000,1.588680,1.107588,2.696268,43.335938
7599,0.834533,0.890000,1.605429,1.117135,2.722564,43.335938
7699,0.833026,0.720000,1.631398,1.126249,2.757647,43.335938
7799,0.832468,0.790000,1.648804,1.135307,2.784111,43.335938
7899,0.832692,0.850000,1.665898,1.144700,2.810598,43.335938
7999,0.832405,0.810000,1.691345,1.153969,2.845314,43.335938
8099,0.832750,0.860000,1.708654,1.163537,2.872191,43.335938
8199,0.832099,0.780000,1.726141,1.172744,2.898885,43.335938
8299,0.832805,0.890000,1.743157,1.182320,2.925477,43.335938
8399,0.832651,0.820000,1.768694,1.191604,2.960298,43.335938
8499,0.832857,0.850000,1.786240,1.200927,2.987167,43.335938
8599,0.832824,0.830000,1.807661,1.212889,3.020550,43.335938
8699,0.832791,0.830000,1.839057,1.224125,3.063182,43.335938
8799,0.832874,0.840000,1.856453,1.233562,3.090015,43.335938
8899,0.832500,0.800000,1.881749,1.242943,3.124691,43.335938
8999,0.832022,0.790000,1.907152,1.252294,3.159446,43.335938
9099,0.831889,0.820000,1.924437,1.261643,3.186080,43.335938
9199,0.831648,0.810000,1.941685,1.270847,3.212532,43.335938
9299,0.830978,0.770000,1.967104,1.280108,3.247212,43.335938
9399,0.831290,0.860000,1.983871,1.289608,3.273479,43.335938
9499,0.831064,0.810000,2.009470,1.298767,3.308237,43.335938
9599,0.830737,0.800000,2.034878,1.308119,3.342997,43.335938
9699,0.831354,0.890000,2.051797,1.317663,3.369460,43.335938
9799,0.831443,0.840000,2.069806,1.327349,3.397155,43.335938
9899,0.831531,0.840000,2.095410,1.336850,3.432260,43.335938
9999,0.831313,0.810000,2.113090,1.345831,3.458921,43.335938
10099,0.830900,0.790000,2.130301,1.355400,3.485700,43.335938
10199,0.830396,0.780000,2.156480,1.364646,3.521126,43.335938
10299,0.830294,0.820000,2.179918,1.377014,3.556932,43.335938
10399,0.830680,0.870000,2.200164,1.388005,3.588170,43.335938
10499,0.831346,0.900000,2.225206,1.397708,3.622914,49.591797
10599,0.831333,0.830000,2.242607,1.407280,3.649887,51.625000
10699,0.831981,0.900000,2.259664,1.417476,3.677140,52.429688
10799,0.832150,0.850000,2.285870,1.427124,3.712994,52.453125
10899,0.832407,0.860000,2.303347,1.436650,3.739996,52.453125
10999,0.831743,0.760000,2.321260,1.445809,3.767069,52.453125
11099,0.832182,0.880000,2.338459,1.455376,3.793836,52.453125
11199,0.832072,0.820000,2.363910,1.465021,3.828931,52.453125
11299,0.832321,0.860000,2.381391,1.474458,3.855849,52.453125
11399,0.831858,0.780000,2.398848,1.483939,3.882787,52.453125
11499,0.831667,0.810000,2.425458,1.494091,3.919549,60.742188
11599,0.832087,0.880000,2.442604,1.504130,3.946734,60.765625
11699,0.832328,0.860000,2.460240,1.514094,3.974334,61.523438
11799,0.831880,0.780000,2.477777,1.524192,4.001969,61.570312
11899,0.831949,0.840000,2.503440,1.534809,4.038249,61.570312
11999,0.832101,0.850000,2.529592,1.548801,4.078393,61.570312
12099,0.832083,0.830000,2.549412,1.560921,4.110333,61.570312
12199,0.832149,0.840000,2.574898,1.570926,4.145824,61.570312
12299,0.832787,0.910000,2.592412,1.580704,4.173116,61.570312
12399,0.833008,0.860000,2.609822,1.590568,4.200390,61.570312
12499,0.833306,0.870000,2.627202,1.600421,4.227622,61.570312
12599,0.833760,0.890000,2.652826,1.610204,4.263030,61.570312
12699,0.834127,0.880000,2.670242,1.619934,4.290176,61.570312
12799,0.834409,0.870000,2.695977,1.629460,4.325437,61.570312
12899,0.834453,0.840000,2.713515,1.639048,4.352563,61.570312
