id,mean_acc_[M0],current_acc_[M0],training_time_[M0],testing_time_[M0],total_running_time_[M0],model_size_[M0]
10,0.000000,0.000000,0.003784,0.000299,0.004083,13.936523
19,0.600000,0.600000,0.006859,0.001926,0.008785,14.497070
29,0.750000,0.900000,0.010505,0.004298,0.014803,14.497070
39,0.700000,0.600000,0.014687,0.006572,0.021260,15.067383
49,0.750000,0.900000,0.018208,0.008793,0.027001,15.067383
59,0.780000,0.900000,0.022275,0.011196,0.033472,15.067383
69,0.783333,0.800000,0.028721,0.014639,0.043360,15.067383
79,0.800000,0.900000,0.035087,0.018545,0.053633,15.614258
89,0.800000,0.800000,0.041023,0.022034,0.063057,15.614258
99,0.800000,0.800000,0.045772,0.024512,0.070284,15.614258
109,0.790000,0.700000,0.050106,0.027087,0.077192,15.600586
119,0.781818,0.700000,0.055143,0.030308,0.085451,15.614258
129,0.791667,0.900000,0.060974,0.033170,0.094144,15.614258
139,0.800000,0.900000,0.067076,0.036769,0.103845,15.614258
149,0.792857,0.700000,0.087042,0.040245,0.127287,15.637695
159,0.800000,0.900000,0.092165,0.042853,0.135018,16.208008
169,0.812500,1.000000,0.098146,0.046572,0.144718,16.208008
179,0.811765,0.800000,0.104139,0.050147,0.154286,16.208008
189,0.816667,0.900000,0.110150,0.053711,0.163860,16.208008
199,0.815789,0.800000,0.115184,0.056344,0.171528,16.194336
209,0.820000,0.900000,0.119795,0.059235,0.179030,16.208008
219,0.823810,0.900000,0.124013,0.061792,0.185805,16.208008
229,0.827273,0.900000,0.128331,0.063999,0.192330,16.208008
239,0.821739,0.700000,0.131925,0.066386,0.198311,16.208008
249,0.829167,1.000000,0.135426,0.068581,0.204006,16.208008
259,0.820000,0.600000,0.139947,0.070794,0.210741,16.223633
269,0.826923,1.000000,0.144013,0.073359,0.217372,16.223633
279,0.825926,0.800000,0.147750,0.075714,0.223464,16.223633
289,0.832143,1.000000,0.160587,0.077982,0.238569,16.223633
