noise,samples,accuracy,training,testing,size,ram,cpu,std,vfdt
0,10,95.41,7.03,5.37,123.7363,688.0,30.35,10.15,
,100,95.11,6.88,5.34,133.9434,560.0,31.2,10.08,
,1000,94.50,6.91,5.44,155.2539,656.0,31.35,10.09,
15,10,82.86,8.97,5.36,219.5996,1224.0,39.05,13.99,
,100,82.88,8.58,5.10,219.5996,964.0,35.4,13.92,
,1000,82.84,8.67,4.98,218.4863,940.0,30.6,13.91,
40,10,65.37,9.77,5.31,199.8730,968.0,34.3,18.05,
,100,65.35,9.44,5.11,199.8730,656.0,29.95,18.06,
,1000,65.50,9.44,4.91,199.8730,688.0,29.9,18.06,
0,10,93.89,36.75,6.39,269.7627,1384.0,30.6,17.74,hat
,100,94.15,34.56,6.24,269.9014,1200.0,31.75,17.66,
,1000,98.62,32.28,5.80,208.2510,1200.0,32.1,17.66,
15,10,83.15,47.81,6.46,298.7002,1292.0,30.1,16.99,
,100,84.15,40.97,6.25,355.6455,1220.0,37.05,16.89,
,1000,84.61,42.59,6.13,297.2607,1356.0,33.25,16.88,
40,10,67.89,37.64,5.84,264.1318,1244.0,30.95,17.68,
,100,67.53,37.07,6.02,266.4209,1316.0,34.15,17.68,
,1000,68.06,41.03,6.01,389.1260,1412.0,31.15,17.68,
0,10,49.68,4.48,137.81,395.5820,2432.0,42.40,20.46,knn
,100,49.69,4.07,125.08,394.7617,2108.0,31.70,20.57,
,1000,49.68,4.26,130.29,395.0195,1540.0,36.35,20.58,
15,10,50.13,4.45,143.72,395.9570,2596.0,37.8,21.82,
,100,50.15,4.19,138.66,393.9648,2140.0,39.45,21.85,
,1000,50.13,4.03,131.38,393.6133,1836.0,31.7,21.86,
40,10,50.64,4.52,150.42,395.3477,2572.0,34.2,22.43,
,100,50.64,4.23,143.22,394.5508,1980.0,33.55,22.42,
,1000,50.53,4.28,142.17,393.6133,1548.0,34.3,22.42,
0,10,49.69,145.65,136.81,399.9561,2472.0,37.9,22.72,knnadwin
,100,49.70,146.70,137.49,399.7451,2156.0,42.1,22.70,
,1000,49.69,125.25,116.04,398.9951,2388.0,25.8,22.70,
15,10,50.12,152.39,143.41,400.5420,2440.0,32.35,22.81,
,100,50.10,153.59,144.57,402.1123,2352.0,41.7,22.77,
,1000,50.08,133.87,124.08,400.6123,2300.0,26.8,22.77,
40,10,50.60,151.08,142.53,400.0498,2544.0,32.1,22.75,
,100,50.65,156.02,147.11,400.2139,2016.0,41.25,22.71,
,1000,50.54,135.65,126.39,400.0264,2324.0,25.4,22.71,
