id,mean_acc_[M0],current_acc_[M0],training_time_[M0],testing_time_[M0],total_running_time_[M0],model_size_[M0]
1000,1.000000,1.000000,0.499825,0.000486,0.500312,44.731445
1999,0.978000,0.978000,1.117650,0.157131,1.274781,61.631836
2999,0.981000,0.984000,1.852704,0.319417,2.172121,74.395508
3999,0.987333,1.000000,2.566410,0.468312,3.034722,81.926758
4999,0.990500,1.000000,3.301150,0.616012,3.917161,83.637695
5999,0.992400,1.000000,4.033149,0.763086,4.796235,86.452148
6999,0.993667,1.000000,4.768809,0.910081,5.678890,88.163086
7999,0.994286,0.998000,5.548570,1.063626,6.612195,96.133789
8999,0.995000,1.000000,6.295097,1.209083,7.504180,98.444336
9999,0.995556,1.000000,7.039324,1.354022,8.393346,100.752930
10999,0.996000,1.000000,7.810800,1.499737,9.310537,101.350586
11999,0.996364,1.000000,8.571357,1.644638,10.215994,103.047852
12999,0.996667,1.000000,9.350505,1.792209,11.142714,104.772461
13999,0.996923,1.000000,10.112153,1.935847,12.048001,106.473633
14999,0.997143,1.000000,10.858966,2.078715,12.937681,107.059570
15999,0.997333,1.000000,11.637366,2.226447,13.863814,107.059570
16999,0.997500,1.000000,12.417839,2.372709,14.790548,107.684570
17999,0.997647,1.000000,13.193646,2.518654,15.712300,107.672852
18999,0.997778,1.000000,13.976245,2.664031,16.640276,108.256836
19999,0.997895,1.000000,14.757064,2.809230,17.566294,108.243164
20999,0.998000,1.000000,15.537819,2.952876,18.490695,109.981445
21999,0.998095,1.000000,16.331286,3.099966,19.431252,110.540039
22999,0.998182,1.000000,17.113361,3.244909,20.358270,111.696289
23999,0.998261,1.000000,17.874779,3.388147,21.262927,111.708008
24999,0.998333,1.000000,18.643047,3.531801,22.174848,112.809570
25999,0.998400,1.000000,19.425374,3.676277,23.101651,113.377930
26999,0.998462,1.000000,20.189757,3.817595,24.007352,113.405273
27999,0.998519,1.000000,20.969421,3.961066,24.930487,113.936523
28999,0.998571,1.000000,21.746025,4.104529,25.850554,113.963867
29999,0.998621,1.000000,22.520502,4.248998,26.769500,113.952148
30999,0.998667,1.000000,23.345564,4.398994,27.744558,113.965820
31999,0.998710,1.000000,24.141989,4.544724,28.686713,113.979492
32999,0.998750,1.000000,24.976898,4.696158,29.673055,113.954102
33999,0.998788,1.000000,25.818000,4.848259,30.666259,115.124023
34999,0.998824,1.000000,26.647856,4.998778,31.646635,115.112305
35999,0.998857,1.000000,27.479383,5.148481,32.627863,115.698242
36999,0.998889,1.000000,28.280760,5.296231,33.576991,115.682617
37999,0.998919,1.000000,29.145702,5.451975,34.597676,115.698242
38999,0.998947,1.000000,29.963956,5.600645,35.564600,115.686523
39999,0.998974,1.000000,30.777618,5.749656,36.527274,116.254883
