id,mean_acc_[M0],current_acc_[M0],training_time_[M0],testing_time_[M0],total_running_time_[M0],model_size_[M0]
1000,1.000000,1.000000,0.216834,0.000220,0.217054,24.935547
1999,0.962000,0.962000,0.405652,0.103501,0.509153,24.935547
2999,0.966000,0.970000,0.582697,0.223573,0.806271,38.935547
3999,0.977333,1.000000,0.730960,0.356174,1.087134,38.935547
4999,0.983000,1.000000,0.871495,0.480407,1.351902,38.935547
5999,0.986400,1.000000,1.023756,0.615313,1.639069,38.935547
6999,0.988667,1.000000,1.163031,0.740051,1.903082,38.935547
7999,0.990286,1.000000,1.313069,0.873745,2.186814,38.935547
8999,0.991375,0.999000,1.458247,0.996279,2.454526,43.978516
9999,0.992222,0.999000,1.615253,1.135317,2.750570,44.001953
10999,0.993000,1.000000,1.760167,1.263957,3.024124,44.001953
11999,0.993636,1.000000,1.896850,1.385034,3.281884,44.001953
12999,0.994167,1.000000,2.054488,1.523969,3.578458,44.001953
13999,0.994615,1.000000,2.193671,1.647124,3.840795,44.001953
14999,0.995000,1.000000,2.343520,1.780615,4.124135,44.001953
15999,0.995333,1.000000,2.482951,1.904512,4.387463,44.001953
16999,0.995625,1.000000,2.620466,2.027228,4.647693,44.001953
17999,0.995882,1.000000,2.766068,2.156741,4.922809,44.001953
18999,0.996111,1.000000,2.905499,2.280901,5.186399,44.001953
19999,0.996316,1.000000,3.052576,2.411397,5.463973,44.001953
20999,0.996500,1.000000,3.190024,2.533394,5.723418,44.001953
21999,0.996667,1.000000,3.340640,2.666477,6.007117,44.001953
22999,0.996818,1.000000,3.479378,2.789383,6.268760,44.001953
23999,0.996957,1.000000,3.624436,2.918110,6.542545,44.001953
24999,0.997083,1.000000,3.765372,3.043086,6.808458,44.001953
25999,0.997200,1.000000,3.902545,3.164635,7.067179,44.001953
26999,0.997308,1.000000,4.048223,3.293525,7.341748,44.001953
27999,0.997407,1.000000,4.184803,3.414853,7.599657,44.001953
28999,0.997500,1.000000,4.355567,3.565131,7.920699,44.001953
29999,0.997586,1.000000,4.493899,3.688217,8.182116,44.001953
30999,0.997667,1.000000,4.639553,3.817174,8.456727,44.001953
31999,0.997742,1.000000,4.782267,3.943753,8.726020,44.001953
32999,0.997812,1.000000,4.919351,4.065302,8.984653,44.001953
33999,0.997879,1.000000,5.072450,4.199859,9.272309,44.001953
34999,0.997941,1.000000,5.209277,4.321975,9.531252,44.001953
35999,0.998000,1.000000,5.357860,4.454922,9.812783,44.001953
36999,0.998056,1.000000,5.494599,4.576659,10.071258,44.001953
37999,0.998108,1.000000,5.643359,4.708759,10.352118,44.001953
38999,0.998158,1.000000,5.781965,4.832449,10.614414,44.001953
39999,0.998205,1.000000,5.930868,4.964447,10.895315,44.001953
