id,mean_acc_[M0],current_acc_[M0],training_time_[M0],testing_time_[M0],total_running_time_[M0],model_size_[M0]
1000,0.000000,0.000000,0.028084,0.003875,0.031958,393.847656
1999,0.496000,0.496000,0.133721,3.454446,3.588166,393.050781
2999,0.501500,0.507000,0.236086,6.773985,7.010071,393.027344
3999,0.498000,0.491000,0.338781,10.048608,10.387389,393.238281
4999,0.502250,0.515000,0.441629,13.388259,13.829888,393.238281
5999,0.503600,0.509000,0.543600,16.657660,17.201260,393.238281
6999,0.500500,0.485000,0.644883,20.163146,20.808029,393.238281
7999,0.502714,0.516000,0.747048,23.362646,24.109694,393.238281
8999,0.501750,0.495000,0.848966,26.599222,27.448188,393.238281
9999,0.499556,0.482000,0.951811,29.812575,30.764387,393.238281
10999,0.500900,0.513000,1.053124,33.212693,34.265817,393.238281
11999,0.502455,0.518000,1.156129,36.672217,37.828346,393.238281
12999,0.500417,0.478000,1.261063,39.964498,41.225561,393.238281
13999,0.502077,0.522000,1.365503,43.244608,44.610112,393.238281
14999,0.502071,0.502000,1.468970,46.495952,47.964922,393.238281
15999,0.501933,0.500000,1.573969,49.878226,51.452195,393.238281
16999,0.501563,0.496000,1.680261,53.426513,55.106774,393.238281
17999,0.500471,0.483000,1.788111,57.135393,58.923504,393.238281
18999,0.500611,0.503000,1.894755,60.765808,62.660563,393.238281
19999,0.501000,0.508000,2.002964,64.496875,66.499839,393.238281
20999,0.501150,0.504000,2.108889,68.207871,70.316760,393.238281
21999,0.502000,0.519000,2.214885,71.668664,73.883550,393.238281
22999,0.502500,0.513000,2.318606,74.942602,77.261208,393.238281
23999,0.502913,0.512000,2.424466,78.516022,80.940488,393.238281
24999,0.502375,0.490000,2.539559,82.572842,85.112401,393.238281
25999,0.503120,0.521000,2.651451,86.323715,88.975166,393.238281
26999,0.502231,0.480000,2.767706,90.104474,92.872181,393.238281
27999,0.502148,0.500000,2.886105,94.017724,96.903830,393.238281
28999,0.501821,0.493000,3.004144,97.935352,100.939495,393.238281
29999,0.501552,0.494000,3.119569,101.708886,104.828456,393.238281
30999,0.500567,0.472000,3.243193,105.574326,108.817520,393.238281
31999,0.501290,0.523000,3.374587,109.862194,113.236780,393.238281
32999,0.502000,0.524000,3.511291,114.030938,117.542229,392.441406
33999,0.502273,0.511000,3.649975,118.231004,121.880979,392.441406
34999,0.503559,0.546000,3.787213,122.401922,126.189135,392.441406
35999,0.503829,0.513000,3.920297,126.767046,130.687343,392.441406
36999,0.503444,0.490000,4.042608,130.935462,134.978070,392.441406
37999,0.503432,0.503000,4.152968,134.734219,138.887187,392.441406
38999,0.503474,0.505000,4.250144,137.984942,142.235086,392.441406
39999,0.503846,0.518000,4.348042,141.319957,145.667999,392.441406
