id,mean_acc_[M0],current_acc_[M0],training_time_[M0],testing_time_[M0],total_running_time_[M0],model_size_[M0]
100,1.000000,1.000000,0.044071,0.000631,0.044701,45.770508
199,0.420000,0.420000,0.115326,0.058787,0.174113,83.493164
299,0.525000,0.630000,0.215801,0.145122,0.360923,122.606445
399,0.500000,0.450000,0.327506,0.244520,0.572026,161.743164
499,0.497500,0.490000,0.468300,0.371439,0.839738,201.430664
599,0.494000,0.480000,0.649961,0.540742,1.190702,240.260742
699,0.488333,0.460000,0.872130,0.744703,1.616834,280.752930
799,0.500000,0.570000,1.098914,0.959141,2.058054,320.336914
899,0.500000,0.500000,1.384920,1.230066,2.614987,359.321289
999,0.510000,0.590000,1.700602,1.531981,3.232582,398.305664
1099,0.508000,0.490000,2.058466,1.870112,3.928578,398.291992
1199,0.506364,0.490000,2.433865,2.225091,4.658956,398.268555
1299,0.500833,0.440000,2.801417,2.572828,5.374245,399.166992
1399,0.497692,0.460000,3.152799,2.905867,6.058666,398.557617
1499,0.499286,0.520000,3.532462,3.261776,6.794239,399.166992
1599,0.504000,0.570000,3.897662,3.606445,7.504107,398.196289
1699,0.500625,0.450000,4.260212,3.948635,8.208847,399.391602
1799,0.504118,0.560000,4.581862,4.252749,8.834611,399.391602
1899,0.501667,0.460000,4.921898,4.571471,9.493369,398.196289
1999,0.502632,0.520000,5.249158,4.882537,10.131695,399.391602
2099,0.506000,0.570000,5.579357,5.193772,10.773128,398.182617
2199,0.504286,0.470000,5.932438,5.523841,11.456279,399.377930
2299,0.504091,0.500000,6.258413,5.830533,12.088946,398.182617
2399,0.503043,0.480000,6.593571,6.145542,12.739113,399.377930
2499,0.500417,0.440000,6.963917,6.494262,13.458179,398.182617
2599,0.500400,0.500000,7.413982,6.921849,14.335832,400.848633
2699,0.503462,0.580000,7.894473,7.373338,15.267811,399.653320
2799,0.502222,0.470000,8.328354,7.783656,16.112010,400.848633
2899,0.502143,0.500000,8.710771,8.148428,16.859198,399.653320
2999,0.504138,0.560000,9.062577,8.479330,17.541907,400.848633
3099,0.504000,0.500000,9.431819,8.827445,18.259264,399.666992
3199,0.504516,0.520000,9.786941,9.165841,18.952782,400.862305
3299,0.503437,0.470000,10.107963,9.468177,19.576139,399.666992
3399,0.504242,0.530000,10.467316,9.807781,20.275097,399.666992
3499,0.505882,0.560000,10.807231,10.128881,20.936112,400.862305
3599,0.503429,0.420000,11.131612,10.433389,21.565001,399.666992
3699,0.501389,0.430000,11.482547,10.766266,22.248813,400.862305
3799,0.501622,0.510000,11.817836,11.081413,22.899249,399.666992
3899,0.499474,0.420000,12.139401,11.386083,23.525484,400.862305
3999,0.500769,0.550000,12.485660,11.711624,24.197284,399.666992
4099,0.498000,0.390000,12.836789,12.041089,24.877878,400.848633
4199,0.496585,0.440000,13.160613,12.345330,25.505943,400.848633
4299,0.498333,0.570000,13.510118,12.673661,26.183779,399.653320
4399,0.500930,0.610000,13.866733,13.013075,26.879807,400.848633
4499,0.502955,0.590000,14.225370,13.349758,27.575128,399.653320
4599,0.503778,0.540000,14.623528,13.728144,28.351672,400.848633
4699,0.505217,0.570000,14.981123,14.067690,29.048813,399.653320
4799,0.505532,0.520000,15.326653,14.394074,29.720727,400.848633
4899,0.504583,0.460000,15.693487,14.739211,30.432699,399.653320
4999,0.503673,0.460000,16.022014,15.049669,31.071683,399.653320
5099,0.502800,0.460000,16.366661,15.374739,31.741400,400.848633
5199,0.502549,0.490000,16.708156,15.698352,32.406508,401.137695
5299,0.503846,0.570000,17.039602,16.011054,33.050656,401.137695
5399,0.502830,0.450000,17.390342,16.339397,33.729739,401.137695
5499,0.502963,0.510000,17.722389,16.652685,34.375074,401.137695
5599,0.503091,0.510000,18.064100,16.975734,35.039834,401.137695
5699,0.503393,0.520000,18.422094,17.309290,35.731385,401.137695
5799,0.504211,0.550000,18.790249,17.658704,36.448953,401.137695
5899,0.505345,0.570000,19.163699,18.011072,37.174771,401.137695
5999,0.504576,0.460000,19.517300,18.346181,37.863481,401.137695
6099,0.504333,0.490000,19.899349,18.707957,38.607306,401.137695
6199,0.504098,0.490000,20.289438,19.078571,39.368009,401.151367
6299,0.504516,0.530000,20.666977,19.438137,40.105114,401.151367
6399,0.503651,0.450000,21.028537,19.782830,40.811367,401.151367
6499,0.503281,0.480000,21.419240,20.152977,41.572216,401.151367
6599,0.502462,0.450000,21.795022,20.508154,42.303177,401.151367
6699,0.501667,0.450000,22.179757,20.875652,43.055409,401.151367
6799,0.501791,0.510000,22.541566,21.222339,43.763905,401.151367
6899,0.502353,0.540000,22.931815,21.595063,44.526878,401.151367
6999,0.501739,0.460000,23.327687,21.969030,45.296717,401.151367
7099,0.502429,0.550000,23.707894,22.328401,46.036295,401.151367
7199,0.502394,0.500000,24.034433,22.634319,46.668752,401.151367
7299,0.502222,0.490000,24.408995,22.984983,47.393978,401.151367
7399,0.503151,0.570000,24.769914,23.322469,48.092384,401.151367
7499,0.502162,0.430000,25.104674,23.636676,48.741351,401.151367
7599,0.502667,0.540000,25.457655,23.969154,49.426808,401.151367
7699,0.502500,0.490000,25.825549,24.316722,50.142271,401.151367
7799,0.502727,0.520000,26.167338,24.639826,50.807164,401.151367
7899,0.502949,0.520000,26.509270,24.962978,51.472249,401.151367
7999,0.503544,0.550000,26.864202,25.298009,52.162211,401.151367
8099,0.503000,0.460000,27.229651,25.642010,52.871660,401.151367
8199,0.502963,0.500000,27.551101,25.944793,53.495894,401.137695
8299,0.502073,0.430000,27.912453,26.283940,54.196394,401.137695
8399,0.502530,0.540000,28.270541,26.623103,54.893645,401.137695
8499,0.502262,0.480000,28.592515,26.925124,55.517639,401.137695
