noise,samples,accuracy,training,testing,size,ram,cpu,std,
0,10,99.63,6.16,5.36,44.0020,492.0,36.05,2.40,vfdt
,100,99.64,5.90,5.13,44.0020,484.0,31.9,2.33,
,1000,99.82,5.93,4.96,44.0020,504.0,30.15,2.32,
15,10,84.60,9.02,4.77,121.7910,680.0,33.6,10.85,
,100,84.60,8.59,4.56,121.7910,580.0,41.6,10.76,
,1000,84.64,8.66,4.43,121.7910,552.0,30.85,10.74,
40,10,65.34,9.78,4.25,163.3027,788.0,33.65,16.87,
,100,65.35,9.80,4.14,163.3027,620.0,31.0,16.94,
,1000,65.45,9.63,3.96,163.3027,616.0,31.45,16.95,
0,10,99.72,30.84,5.96,115.6982,652.0,32.25,16.45,hat
,100,99.87,27.08,5.82,115.7139,628.0,33.05,16.37,
,1000,99.90,30.78,5.75,116.2549,632.0,32.55,16.36,
15,10,84.68,41.87,5.82,305.0869,1208.0,30.75,15.57,
,100,85.03,40.15,5.51,335.7744,1228.0,31.3,15.44,
,1000,84.53,47.97,5.95,332.1475,1100.0,33.1,15.43,
40,10,65.28,35.56,5.57,434.3545,1236.0,32.0,17.00,
,100,64.54,36.69,5.86,475.6553,1428.0,31.3,17.04,
,1000,65.12,34.85,5.17,447.9717,1432.0,32.45,17.04,
0,10,50.03,4.50,135.51,392.9805,2388.0,33.25,20.23,knn
,100,50.00,4.03,123.43,393.9883,2152.0,36.55,20.37,
,1000,50.04,4.10,124.44,394.2227,1756.0,34.5,20.38,
15,10,50.39,4.39,142.67,394.1523,2400.0,35.55,21.83,
,100,50.40,4.30,143.25,393.3555,2148.0,39.65,21.87,
,1000,50.38,4.35,141.32,392.4414,1704.0,34.8,21.87,
40,10,50.67,4.48,150.99,392.3711,2264.0,34.4,22.59,
,100,50.67,4.29,144.04,394.5508,2180.0,39.95,22.58,
,1000,50.58,4.37,145.47,394.8320,1688.0,35.25,22.58,
0,10,50.03,143.08,134.25,398.9717,2480.0,32.45,22.95,knnadwin
,100,50.03,142.25,133.17,401.7607,2100.0,40.3,22.93,
,1000,50.04,127.06,117.67,401.4326,2364.0,25.7,22.93,
15,10,50.39,152.22,143.59,400.7764,2400.0,31.95,23.07,
,100,50.40,156.19,147.05,400.4717,2324.0,42.45,23.04,
,1000,50.38,133.62,124.37,399.6514,2320.0,25.65,23.04,
40,10,50.67,155.02,146.16,399.5811,2468.0,32.4,23.06,
,100,50.67,158.32,149.18,402.3467,2268.0,41.6,23.03,
,1000,50.58,136.51,127.26,400.8467,2380.0,26.4,23.02,
