id,mean_acc_[M0],current_acc_[M0],training_time_[M0],testing_time_[M0],total_running_time_[M0],model_size_[M0]
1000,1.000000,1.000000,0.437173,0.000177,0.437350,15.362305
1999,0.721000,0.721000,0.982711,0.210449,1.193160,15.922852
2999,0.699500,0.678000,1.556513,0.403445,1.959959,32.666992
3999,0.671667,0.616000,2.216217,0.531012,2.747229,46.110352
4999,0.639250,0.542000,2.874077,0.650483,3.524560,48.342773
5999,0.622000,0.553000,3.658597,0.794172,4.452769,62.473633
6999,0.609333,0.546000,5.223387,1.009207,6.232593,78.151367
7999,0.603000,0.565000,6.968005,1.240413,8.208418,92.276367
8999,0.596000,0.547000,8.372353,1.455525,9.827877,36.151367
9999,0.588778,0.531000,9.188541,1.637985,10.826526,47.825195
10999,0.586600,0.567000,10.148754,1.861558,12.010311,49.502930
11999,0.581818,0.534000,11.182916,2.100293,13.283209,51.227539
12999,0.580083,0.561000,12.195319,2.306335,14.501654,65.920898
13999,0.580077,0.580000,13.246829,2.511503,15.758332,69.372070
14999,0.580143,0.581000,14.184735,2.668290,16.853025,84.598633
15999,0.579000,0.563000,15.259176,2.854161,18.113337,86.879883
16999,0.577812,0.560000,16.486589,3.072377,19.558966,88.049805
17999,0.580412,0.622000,17.710454,3.310551,21.021005,90.043945
18999,0.594722,0.838000,19.141932,3.570315,22.712247,85.733398
19999,0.605105,0.792000,20.294851,3.768471,24.063322,96.284180
20999,0.612700,0.757000,21.398646,3.957310,25.355956,99.805664
21999,0.617762,0.719000,22.573808,4.156991,26.730799,100.362305
22999,0.622091,0.713000,23.680319,4.342029,28.022348,103.204102
23999,0.625130,0.692000,24.838644,4.530279,29.368923,100.622070
24999,0.628000,0.694000,25.942157,4.688506,30.630663,115.081055
25999,0.629160,0.657000,27.618272,4.873099,32.491371,139.682617
26999,0.631346,0.686000,29.779082,5.052554,34.831636,164.592773
27999,0.631963,0.648000,31.776580,5.236059,37.012639,168.823242
28999,0.632179,0.638000,33.695718,5.419331,39.115049,172.946289
29999,0.632414,0.639000,35.537179,5.605774,41.142953,185.858398
30999,0.632033,0.621000,37.288855,5.807318,43.096174,157.813477
31999,0.631935,0.629000,39.304344,6.009656,45.314000,192.145508
32999,0.632625,0.654000,41.411075,6.189408,47.600484,198.469727
33999,0.633000,0.645000,43.216478,6.365728,49.582207,179.821289
34999,0.634029,0.668000,45.037503,6.560808,51.598312,204.293945
35999,0.637800,0.766000,46.492292,6.726236,53.218528,237.147461
36999,0.643389,0.839000,48.094460,6.887547,54.982006,82.772461
37999,0.648270,0.824000,48.902526,7.024395,55.926921,86.202148
38999,0.651763,0.781000,49.701842,7.158673,56.860515,88.612305
39999,0.655051,0.780000,50.510274,7.293409,57.803684,88.586914
