id,mean_acc_[M0],current_acc_[M0],training_time_[M0],testing_time_[M0],total_running_time_[M0],model_size_[M0]
1000,1.000000,1.000000,1.298306,0.002877,1.301183,335.237305
1999,0.657000,0.657000,4.085991,2.593630,6.679621,336.047852
2999,0.646000,0.635000,6.796824,5.101777,11.898601,336.557617
3999,0.634000,0.610000,9.522677,7.628276,17.150953,337.368164
4999,0.604250,0.515000,12.269590,10.170394,22.439984,336.299805
5999,0.594400,0.555000,15.015578,12.716346,27.731924,335.872070
6999,0.582000,0.520000,17.731270,15.221103,32.952372,335.881836
7999,0.573286,0.521000,20.521824,17.786311,38.308135,335.895508
8999,0.568250,0.533000,23.353174,20.389009,43.742183,335.895508
9999,0.565444,0.543000,26.166923,22.970459,49.137382,335.881836
10999,0.565200,0.563000,28.989619,25.565137,54.554757,335.881836
11999,0.565182,0.565000,31.793799,28.150709,59.944508,336.161133
12999,0.563167,0.541000,34.478866,30.619224,65.098091,336.161133
13999,0.559077,0.510000,37.080685,33.013641,70.094326,336.174805
14999,0.558071,0.545000,39.676488,35.404375,75.080863,336.174805
15999,0.557200,0.545000,42.273190,37.794170,80.067360,337.229492
16999,0.556375,0.544000,44.871722,40.183471,85.055193,336.202148
17999,0.560588,0.628000,47.475549,42.582418,90.057968,336.188477
18999,0.574278,0.807000,50.110960,45.005936,95.116896,337.243164
19999,0.584579,0.770000,52.716299,47.409181,100.125480,335.889648
20999,0.590300,0.699000,55.314493,49.799971,105.114464,336.944336
21999,0.594619,0.681000,57.909427,52.191523,110.100949,336.944336
22999,0.598000,0.669000,60.508994,54.585319,115.094313,335.889648
23999,0.598739,0.615000,63.109997,56.980824,120.090821,336.944336
24999,0.600583,0.643000,65.699331,59.359413,125.058744,335.875977
25999,0.602120,0.639000,68.297008,61.751489,130.048497,335.875977
26999,0.603808,0.646000,70.897827,64.143689,135.041516,337.233398
27999,0.603889,0.606000,73.489716,66.532627,140.022344,336.178711
28999,0.603500,0.593000,76.092388,68.920116,145.012504,337.247070
29999,0.603276,0.597000,78.698803,71.309866,150.008669,337.247070
30999,0.602033,0.566000,81.305129,73.706433,155.011561,336.192383
31999,0.600839,0.565000,83.896983,76.091761,159.988744,337.247070
32999,0.600094,0.577000,86.497075,78.478721,164.975795,336.487305
33999,0.599576,0.583000,89.091570,80.864876,169.956446,337.309570
34999,0.599941,0.612000,91.689907,83.246471,174.936378,337.309570
35999,0.603143,0.712000,94.297045,85.640005,179.937050,337.309570
36999,0.609167,0.820000,96.946729,88.072450,185.019179,337.295898
37999,0.614216,0.796000,99.560310,90.477059,190.037368,337.295898
38999,0.617605,0.743000,102.170385,92.869488,195.039873,337.295898
39999,0.620538,0.732000,104.779792,95.261486,200.041278,337.522461
