id,mean_acc_[M0],current_acc_[M0],training_time_[M0],testing_time_[M0],total_running_time_[M0],model_size_[M0]
1000,1.000000,1.000000,0.346642,0.000216,0.346857,8.871094
1999,0.718000,0.718000,0.657677,0.110045,0.767721,8.871094
2999,0.698500,0.679000,0.960090,0.213326,1.173416,8.871094
3999,0.673000,0.622000,1.309252,0.308354,1.617606,17.025391
4999,0.641250,0.546000,1.622446,0.414920,2.037365,17.025391
5999,0.621200,0.541000,1.952118,0.528885,2.481003,17.025391
6999,0.609833,0.553000,2.261608,0.733410,2.995019,17.025391
7999,0.601429,0.551000,2.612030,0.890363,3.502393,24.185547
8999,0.594875,0.549000,2.963684,1.011017,3.974701,24.185547
9999,0.588556,0.538000,3.281965,1.146584,4.428549,31.345703
10999,0.585800,0.561000,3.617198,1.328569,4.945766,31.345703
11999,0.583636,0.562000,3.936043,1.512025,5.448068,31.345703
12999,0.581333,0.556000,4.269213,1.704590,5.973803,31.345703
13999,0.580154,0.566000,4.586371,1.868772,6.455142,31.345703
14999,0.581214,0.595000,4.944775,2.035554,6.980328,38.505859
15999,0.580867,0.576000,5.273930,2.202827,7.476756,38.505859
16999,0.580063,0.568000,5.617154,2.392513,8.009667,38.505859
17999,0.584000,0.647000,5.956287,2.549132,8.505419,44.896484
18999,0.598111,0.838000,6.263970,2.644068,8.908038,44.896484
19999,0.608368,0.793000,6.604158,2.750656,9.354814,45.679688
20999,0.615800,0.757000,6.911829,2.835123,9.746952,45.679688
21999,0.620238,0.709000,7.251908,2.990352,10.242260,45.867188
22999,0.624409,0.712000,7.575224,3.132717,10.707941,46.634766
23999,0.627348,0.692000,7.928998,3.283427,11.212426,46.634766
24999,0.630250,0.697000,8.274382,3.431803,11.706185,47.388672
25999,0.631480,0.661000,8.628738,3.587483,12.216222,47.388672
26999,0.633615,0.687000,8.969605,3.729800,12.699405,47.388672
27999,0.634333,0.653000,9.318100,3.900796,13.218897,47.388672
28999,0.634571,0.641000,9.667755,4.058101,13.725856,48.128906
29999,0.634828,0.642000,10.014578,4.196951,14.211528,48.128906
30999,0.633800,0.604000,10.353918,4.332139,14.686057,48.128906
31999,0.633355,0.620000,10.689553,4.474557,15.164110,48.929688
32999,0.633281,0.631000,11.041049,4.660311,15.701360,55.242188
33999,0.633545,0.642000,11.384793,4.816959,16.201751,61.822266
34999,0.634559,0.668000,11.764462,5.004038,16.768500,62.416016
35999,0.637000,0.720000,12.083421,5.156811,17.240232,70.376953
36999,0.642667,0.841000,12.437416,5.375047,17.812463,70.376953
37999,0.647568,0.824000,12.755696,5.570733,18.326428,70.376953
38999,0.651079,0.781000,13.102821,5.787208,18.890029,70.376953
39999,0.653744,0.755000,13.458352,5.955917,19.414269,70.001953
