id,mean_acc_[M0],current_acc_[M0],training_time_[M0],testing_time_[M0],total_running_time_[M0],model_size_[M0]
100,1.000000,1.000000,0.004097,0.001225,0.005322,35.300781
199,0.720000,0.720000,0.009783,0.056653,0.066436,68.066406
299,0.760000,0.800000,0.016052,0.138917,0.154969,100.847656
399,0.746667,0.720000,0.021315,0.223260,0.244574,134.707031
499,0.737500,0.710000,0.026495,0.322121,0.348616,167.371094
599,0.734000,0.720000,0.031779,0.450051,0.481830,199.777344
699,0.743333,0.790000,0.037639,0.605342,0.642982,233.472656
799,0.748571,0.780000,0.042931,0.766122,0.809054,267.261719
899,0.752500,0.780000,0.048651,0.954007,1.002658,297.933594
999,0.753333,0.760000,0.054968,1.206400,1.261368,330.691406
1099,0.745000,0.670000,0.065203,1.461274,1.526478,331.746094
1199,0.741818,0.710000,0.074864,1.703464,1.778328,331.957031
1299,0.735000,0.660000,0.085904,1.992356,2.078260,330.902344
1399,0.726923,0.630000,0.096340,2.255929,2.352268,331.957031
1499,0.717143,0.590000,0.106093,2.496567,2.602660,330.902344
1599,0.709333,0.600000,0.115538,2.736443,2.851981,331.722656
1699,0.708125,0.690000,0.127201,3.048108,3.175309,330.691406
1799,0.708235,0.710000,0.136702,3.289163,3.425865,330.691406
1899,0.705556,0.660000,0.146065,3.528447,3.674512,331.722656
1999,0.702632,0.650000,0.155622,3.772574,3.928197,330.691406
2099,0.699500,0.640000,0.166977,4.072695,4.239672,330.667969
2199,0.695238,0.610000,0.176998,4.324689,4.501687,330.667969
2299,0.693636,0.660000,0.186428,4.565499,4.751927,330.667969
2399,0.693913,0.700000,0.196352,4.818556,5.014908,330.667969
2499,0.690833,0.620000,0.206591,5.085003,5.291593,330.667969
2599,0.688800,0.640000,0.215931,5.324789,5.540721,330.667969
2699,0.687692,0.660000,0.225381,5.562786,5.788167,330.667969
2799,0.684074,0.590000,0.235398,5.817937,6.053334,330.667969
2899,0.682500,0.640000,0.245611,6.095738,6.341349,330.667969
2999,0.679310,0.590000,0.255036,6.335003,6.590039,330.667969
3099,0.678667,0.660000,0.264318,6.572759,6.837076,330.667969
3199,0.677419,0.640000,0.274594,6.837669,7.112263,330.667969
3299,0.676250,0.640000,0.284020,7.079673,7.363693,330.667969
3399,0.673333,0.580000,0.293301,7.320038,7.613340,330.667969
3499,0.672059,0.630000,0.302666,7.559651,7.862316,330.667969
3599,0.669429,0.580000,0.313694,7.836327,8.150021,330.667969
3699,0.668333,0.630000,0.322989,8.073187,8.396176,330.667969
3799,0.667568,0.640000,0.332253,8.311155,8.643408,330.667969
3899,0.662632,0.480000,0.341485,8.549813,8.891298,330.667969
3999,0.661538,0.620000,0.353595,8.874046,9.227640,330.667969
4099,0.658500,0.540000,0.364823,9.169188,9.534011,330.667969
4199,0.654146,0.480000,0.375640,9.459221,9.834861,330.667969
4299,0.651190,0.530000,0.387151,9.771815,10.158966,330.667969
4399,0.648140,0.520000,0.397931,10.043469,10.441400,330.667969
4499,0.643864,0.460000,0.409280,10.353432,10.762712,330.667969
4599,0.640889,0.510000,0.421340,10.693769,11.115109,330.667969
4699,0.637391,0.480000,0.433252,11.013150,11.446403,330.667969
4799,0.635319,0.540000,0.444453,11.296522,11.740975,330.667969
4899,0.633750,0.560000,0.453780,11.535069,11.988849,330.667969
4999,0.631633,0.530000,0.463074,11.774946,12.238019,330.667969
5099,0.630600,0.580000,0.472921,12.029786,12.502707,330.667969
5199,0.629216,0.560000,0.483181,12.315313,12.798495,330.667969
5299,0.626923,0.510000,0.492441,12.553745,13.046186,330.667969
5399,0.625660,0.560000,0.501700,12.793822,13.295521,330.667969
5499,0.624630,0.570000,0.512761,13.089026,13.601787,330.667969
5599,0.623636,0.570000,0.522121,13.326413,13.848534,330.667969
5699,0.622679,0.570000,0.531450,13.565637,14.097086,330.667969
5799,0.621404,0.550000,0.540858,13.806043,14.346901,330.667969
5899,0.620172,0.550000,0.551840,14.094109,14.645949,330.667969
5999,0.618644,0.530000,0.561467,14.340296,14.901763,330.667969
6099,0.616500,0.490000,0.570879,14.581155,15.152034,330.667969
6199,0.614590,0.500000,0.580273,14.819636,15.399910,330.667969
6299,0.612581,0.490000,0.590923,15.093060,15.683983,330.667969
6399,0.611429,0.540000,0.600199,15.331301,15.931501,330.667969
6499,0.610625,0.560000,0.609861,15.572131,16.181992,330.667969
6599,0.607846,0.430000,0.619485,15.816701,16.436186,330.667969
6699,0.607727,0.600000,0.629919,16.095035,16.724954,330.667969
6799,0.606567,0.530000,0.639299,16.334933,16.974232,330.667969
6899,0.605294,0.520000,0.648651,16.571095,17.219746,330.667969
6999,0.604348,0.540000,0.659418,16.862427,17.521845,330.667969
7099,0.602857,0.500000,0.668844,17.103451,17.772295,330.667969
7199,0.600423,0.430000,0.678239,17.342301,18.020541,330.667969
7299,0.598333,0.450000,0.687614,17.580026,18.267640,330.667969
7399,0.598082,0.580000,0.698451,17.875050,18.573500,330.667969
7499,0.597703,0.570000,0.707869,18.116326,18.824195,330.667969
7599,0.596667,0.520000,0.717210,18.354310,19.071520,330.667969
7699,0.595263,0.490000,0.726604,18.596348,19.322952,330.667969
7799,0.595065,0.580000,0.737613,18.884189,19.621802,330.667969
7899,0.595000,0.590000,0.747058,19.123379,19.870437,330.667969
7999,0.593797,0.500000,0.756347,19.361193,20.117539,330.667969
8099,0.594000,0.610000,0.766255,19.614354,20.380609,330.667969
8199,0.593580,0.560000,0.777030,19.871673,20.648702,330.667969
8299,0.592439,0.500000,0.786268,20.110222,20.896489,330.667969
8399,0.591807,0.540000,0.795539,20.349509,21.145047,330.667969
8499,0.590595,0.490000,0.805534,20.612593,21.418127,330.667969
8599,0.589765,0.520000,0.815523,20.871766,21.687289,330.667969
8699,0.589186,0.540000,0.824711,21.109196,21.933907,330.667969
8799,0.588621,0.540000,0.833996,21.347136,22.181132,330.667969
8899,0.587727,0.510000,0.844414,21.618051,22.462465,330.667969
8999,0.586966,0.520000,0.856411,21.927176,22.783587,330.667969
9099,0.585889,0.490000,0.865696,22.163705,23.029401,330.667969
9199,0.585275,0.530000,0.875054,22.404480,23.279533,330.667969
9299,0.584565,0.520000,0.884472,22.645330,23.529803,330.667969
9399,0.583978,0.530000,0.894529,22.913764,23.808293,330.667969
9499,0.583298,0.520000,0.903837,23.151148,24.054984,330.667969
9599,0.582211,0.480000,0.913241,23.393422,24.306663,330.925781
9699,0.581771,0.540000,0.924331,23.704065,24.628396,330.925781
9799,0.582062,0.610000,0.933652,23.942425,24.876077,330.667969
9899,0.582347,0.610000,0.943395,24.188284,25.131679,330.667969
9999,0.582525,0.600000,0.952830,24.428187,25.381017,330.667969
10099,0.582500,0.580000,0.963663,24.708826,25.672489,330.667969
10199,0.582178,0.550000,0.972989,24.947449,25.920438,330.667969
10299,0.581471,0.510000,0.982589,25.192567,26.175156,330.667969
10399,0.581262,0.560000,0.991894,25.432733,26.424627,330.667969
10499,0.581346,0.590000,1.002303,25.700176,26.702479,330.667969
10599,0.580952,0.540000,1.011663,25.940173,26.951836,330.667969
10699,0.582170,0.710000,1.021106,26.178310,27.199416,330.667969
10799,0.581682,0.530000,1.031102,26.438239,27.469341,330.667969
10899,0.581296,0.540000,1.041744,26.714419,27.756163,330.667969
10999,0.580734,0.520000,1.051555,26.961180,28.012736,330.667969
11099,0.581364,0.650000,1.060811,27.199243,28.260055,330.667969
11199,0.580631,0.500000,1.070083,27.440017,28.510101,330.667969
11299,0.580357,0.550000,1.080854,27.725065,28.805918,330.667969
11399,0.580265,0.570000,1.090289,27.966170,29.056458,330.667969
11499,0.579912,0.540000,1.099517,28.203628,29.303145,330.667969
11599,0.579391,0.520000,1.108904,28.442766,29.551670,330.667969
11699,0.579569,0.600000,1.120533,28.748700,29.869233,330.667969
11799,0.579231,0.540000,1.129758,28.986534,30.116291,330.667969
11899,0.579492,0.610000,1.138987,29.224809,30.363796,330.667969
11999,0.579412,0.570000,1.149018,29.487664,30.636682,330.667969
12099,0.579000,0.530000,1.159571,29.759858,30.919429,330.667969
12199,0.578264,0.490000,1.168812,29.996562,31.165374,330.667969
12299,0.576967,0.420000,1.178124,30.235389,31.413514,330.667969
12399,0.577154,0.600000,1.188766,30.511161,31.699926,330.667969
12499,0.576774,0.530000,1.198346,30.755085,31.953432,330.667969
12599,0.576400,0.530000,1.207566,30.991285,32.198851,330.667969
12699,0.576508,0.590000,1.217317,31.230988,32.448305,330.667969
12799,0.576693,0.600000,1.228056,31.505708,32.733765,330.667969
12899,0.576250,0.520000,1.237417,31.743251,32.980669,330.667969
12999,0.576434,0.600000,1.246672,31.981255,33.227927,330.667969
13099,0.576385,0.570000,1.255958,32.220831,33.476789,330.667969
13199,0.575573,0.470000,1.266960,32.507221,33.774180,330.667969
13299,0.574470,0.430000,1.276312,32.747062,34.023374,330.667969
13399,0.574135,0.530000,1.285655,32.983668,34.269323,330.667969
13499,0.573881,0.540000,1.295068,33.223572,34.518641,330.667969
13599,0.573407,0.510000,1.306009,33.515590,34.821599,330.667969
13699,0.573162,0.540000,1.315287,33.752273,35.067560,330.667969
13799,0.572628,0.500000,1.324656,33.992205,35.316860,330.667969
13899,0.571884,0.470000,1.334487,34.241044,35.575531,330.667969
13999,0.571655,0.540000,1.344784,34.513215,35.857999,330.667969
14099,0.571071,0.490000,1.354133,34.752369,36.106502,330.667969
14199,0.571135,0.580000,1.363597,34.991938,36.355535,330.667969
14299,0.570704,0.510000,1.373951,35.253711,36.627662,330.667969
14399,0.570280,0.510000,1.383524,35.495457,36.878981,330.667969
14499,0.570903,0.660000,1.392810,35.733501,37.126311,330.667969
14599,0.570621,0.530000,1.402192,35.972649,37.374840,330.667969
14699,0.570205,0.510000,1.413091,36.250827,37.663918,330.667969
14799,0.570544,0.620000,1.423604,36.514105,37.937709,330.667969
14899,0.570473,0.560000,1.433049,36.754098,38.187147,330.667969
14999,0.569866,0.480000,1.442365,36.993405,38.435771,330.667969
15099,0.570000,0.590000,1.452458,37.255351,38.707809,330.667969
15199,0.570066,0.580000,1.462072,37.501868,38.963940,330.667969
15299,0.570066,0.570000,1.471371,37.740107,39.211478,330.667969
15399,0.569346,0.460000,1.480687,37.979038,39.459725,330.667969
15499,0.568896,0.500000,1.491466,38.268727,39.760193,330.667969
15599,0.569097,0.600000,1.500819,38.509502,40.010321,330.667969
15699,0.568910,0.540000,1.510200,38.750625,40.260825,330.667969
15799,0.568535,0.510000,1.519458,38.989585,40.509043,330.667969
15899,0.568228,0.520000,1.529507,39.249432,40.778938,330.667969
15999,0.568302,0.580000,1.538695,39.487831,41.026526,330.667969
16099,0.567937,0.510000,1.548046,39.727757,41.275804,330.667969
16199,0.567391,0.480000,1.557636,39.970314,41.527950,330.667969
16299,0.567222,0.540000,1.567895,40.237803,41.805698,330.667969
16399,0.566933,0.520000,1.577142,40.476539,42.053681,330.667969
16499,0.566951,0.570000,1.586507,40.714541,42.301047,330.667969
16599,0.567394,0.640000,1.596635,40.969594,42.566229,330.667969
16699,0.567410,0.570000,1.606620,41.221743,42.828362,330.667969
16799,0.567305,0.550000,1.615895,41.458845,43.074740,330.667969
16899,0.567202,0.550000,1.625261,41.698850,43.324111,330.667969
16999,0.566864,0.510000,1.636681,41.981858,43.618538,330.667969
17099,0.566647,0.530000,1.646690,42.244642,43.891332,330.667969
17199,0.566140,0.480000,1.656033,42.483373,44.139406,330.667969
17299,0.566163,0.570000,1.665336,42.721271,44.386607,330.667969
17399,0.565896,0.520000,1.676315,42.994975,44.671290,330.667969
17499,0.565805,0.550000,1.685628,43.233124,44.918753,330.667969
17599,0.565714,0.550000,1.695174,43.477417,45.172591,330.667969
17699,0.566477,0.700000,1.704524,43.716159,45.420683,330.667969
17799,0.568023,0.840000,1.715212,43.990965,45.706177,330.667969
17899,0.569157,0.770000,1.724492,44.230540,45.955032,330.667969
17999,0.570279,0.770000,1.733819,44.474651,46.208470,330.667969
18099,0.571500,0.790000,1.743627,44.734853,46.478479,330.667969
18199,0.572707,0.790000,1.754552,45.018377,46.772929,330.667969
18299,0.574121,0.830000,1.763898,45.258915,47.022813,330.667969
18399,0.575246,0.780000,1.773329,45.499105,47.272434,330.667969
18499,0.576848,0.870000,1.783520,45.757291,47.540811,330.667969
18599,0.577946,0.780000,1.793636,46.013531,47.807167,330.667969
18699,0.579194,0.810000,1.802916,46.255825,48.058740,330.667969
18799,0.580535,0.830000,1.812333,46.499577,48.311911,330.925781
18899,0.581968,0.850000,1.822177,46.756584,48.578761,330.925781
18999,0.582804,0.740000,1.831545,46.997646,48.829191,330.667969
19099,0.583789,0.770000,1.841093,47.240161,49.081254,330.667969
19199,0.584764,0.770000,1.850455,47.479232,49.329687,330.667969
19299,0.586094,0.840000,1.860900,47.757169,49.618069,330.667969
19399,0.587254,0.810000,1.870117,47.996418,49.866535,330.667969
19499,0.588299,0.790000,1.879510,48.237868,50.117379,330.667969
19599,0.589026,0.730000,1.890114,48.521557,50.411671,330.667969
19699,0.589694,0.720000,1.900245,48.783156,50.683401,330.667969
19799,0.590406,0.730000,1.909951,49.025139,50.935091,330.667969
19899,0.591162,0.740000,1.919226,49.263981,51.183208,330.667969
19999,0.592211,0.800000,1.930346,49.547806,51.478152,330.667969
20099,0.592850,0.720000,1.939722,49.785954,51.725676,330.667969
20199,0.593483,0.720000,1.949258,50.033469,51.982727,330.667969
20299,0.593911,0.680000,1.960255,50.330845,52.291100,330.667969
20399,0.594433,0.700000,1.970814,50.604110,52.574924,330.667969
20499,0.594804,0.670000,1.980178,50.846301,52.826478,330.667969
20599,0.595463,0.730000,1.989567,51.085041,53.074609,330.667969
20699,0.596117,0.730000,2.001631,51.414752,53.416383,330.667969
20799,0.596473,0.670000,2.011444,51.657135,53.668579,330.667969
20899,0.596971,0.700000,2.020725,51.896941,53.917666,330.667969
20999,0.597321,0.670000,2.031013,52.158887,54.189900,330.667969
21099,0.597905,0.720000,2.041503,52.423930,54.465433,330.667969
21199,0.598389,0.700000,2.050878,52.664426,54.715304,330.667969
21299,0.598915,0.710000,2.060146,52.903437,54.963583,330.667969
21399,0.599343,0.690000,2.071551,53.194390,55.265942,330.667969
21499,0.599720,0.680000,2.081249,53.442458,55.523708,330.667969
21599,0.599814,0.620000,2.090560,53.681003,55.771564,330.667969
21699,0.600463,0.740000,2.100492,53.939341,56.039833,330.667969
21799,0.600645,0.640000,2.111157,54.220492,56.331649,330.667969
21899,0.600734,0.620000,2.120367,54.457953,56.578320,330.667969
21999,0.601142,0.690000,2.129646,54.696413,56.826059,330.667969
22099,0.601000,0.570000,2.140628,54.974308,57.114936,330.667969
22199,0.601493,0.710000,2.150593,55.233961,57.384554,330.667969
22299,0.601712,0.650000,2.159929,55.472374,57.632303,330.667969
22399,0.601928,0.650000,2.169158,55.710048,57.879206,330.667969
22499,0.602009,0.620000,2.181285,56.022082,58.203367,330.667969
22599,0.602267,0.660000,2.191659,56.288901,58.480560,330.667969
22699,0.602212,0.590000,2.201003,56.527216,58.728219,330.667969
22799,0.602731,0.720000,2.210357,56.766640,58.976998,330.667969
