S,mean_acc_[M0],current_acc_[M0],training_time_[M0],testing_time_[M0],total_running_time_[M0],model_size_[M0]
10,1.000000,1.000000,0.004341,0.000800,0.005141,7.278320
19,0.400000,0.400000,0.008964,0.004664,0.013628,10.932617
29,0.400000,0.400000,0.013758,0.008400,0.022159,14.370117
39,0.500000,0.700000,0.018109,0.011834,0.029943,18.391602
49,0.550000,0.700000,0.023003,0.015242,0.038245,21.842773
59,0.560000,0.600000,0.027388,0.018649,0.046037,25.266602
69,0.633333,1.000000,0.034224,0.023917,0.058142,28.704102
79,0.671429,0.900000,0.040582,0.028380,0.068961,32.370117
89,0.687500,0.800000,0.046035,0.032834,0.078868,36.112305
99,0.666667,0.500000,0.051658,0.037333,0.088991,39.540039
109,0.680000,0.800000,0.058113,0.041855,0.099968,42.532227
119,0.681818,0.700000,0.063740,0.046446,0.110186,46.438477
129,0.691667,0.800000,0.069713,0.051369,0.121083,49.604492
139,0.700000,0.800000,0.076303,0.056110,0.132413,52.760742
149,0.721429,1.000000,0.082058,0.060971,0.143029,55.659180
159,0.713333,0.600000,0.088015,0.065947,0.153962,60.206055
169,0.693750,0.400000,0.094791,0.071109,0.165899,63.315430
179,0.711765,1.000000,0.100914,0.076167,0.177081,66.237305
189,0.716667,0.800000,0.107073,0.081360,0.188433,69.360352
199,0.694737,0.300000,0.113271,0.086676,0.199947,72.165039
209,0.705000,0.900000,0.120492,0.092122,0.212613,76.165039
219,0.719048,1.000000,0.126967,0.097574,0.224541,78.758789
229,0.713636,0.600000,0.133393,0.103102,0.236494,81.680664
239,0.713043,0.700000,0.140932,0.108800,0.249732,86.524414
249,0.712500,0.700000,0.148685,0.115369,0.264055,89.399414
259,0.716000,0.800000,0.156624,0.122151,0.278774,93.668945
269,0.719231,0.800000,0.165609,0.129089,0.294699,96.614258
279,0.729630,1.000000,0.173738,0.136126,0.309864,99.489258
289,0.721429,0.500000,0.181946,0.143347,0.325292,101.473633
299,0.731034,1.000000,0.191412,0.150704,0.342116,104.536133
309,0.730000,0.700000,0.200042,0.158374,0.358416,108.184570
319,0.722581,0.500000,0.208906,0.166319,0.375224,111.549805
329,0.721875,0.700000,0.218830,0.174228,0.393058,114.706055
339,0.730303,1.000000,0.227678,0.182040,0.409718,117.956055
349,0.729412,0.700000,0.236717,0.189904,0.426621,121.745117
359,0.728571,0.700000,0.245900,0.198032,0.443932,124.948242
369,0.730556,0.800000,0.256268,0.206500,0.462768,128.174805
379,0.727027,0.600000,0.265872,0.215065,0.480937,131.391602
389,0.731579,0.900000,0.275636,0.223894,0.499530,134.524414
399,0.728205,0.600000,0.286774,0.232907,0.519681,138.172852
409,0.730000,0.800000,0.297263,0.242234,0.539497,141.235352
419,0.724390,0.500000,0.307841,0.251759,0.559600,144.321289
429,0.728571,0.900000,0.319402,0.261463,0.580866,148.555664
439,0.730233,0.800000,0.329611,0.270808,0.600419,151.336914
449,0.731818,0.800000,0.339699,0.279935,0.619634,154.540039
459,0.737778,1.000000,0.351448,0.289464,0.640912,157.743164
469,0.741304,0.900000,0.361797,0.298878,0.660675,161.977539
479,0.738298,0.600000,0.372325,0.308417,0.680742,165.180664
489,0.729167,0.300000,0.385992,0.319794,0.705785,167.961914
499,0.724490,0.500000,0.398641,0.331469,0.730110,171.165039
509,0.720000,0.500000,0.413718,0.346038,0.759755,174.331055
519,0.717647,0.600000,0.427002,0.358174,0.785176,177.299805
529,0.721154,0.900000,0.443008,0.371730,0.814737,180.362305
539,0.726415,1.000000,0.458082,0.385490,0.843572,184.010742
549,0.725926,0.700000,0.473069,0.398491,0.871559,187.143555
559,0.727273,0.800000,0.488140,0.411281,0.899421,190.346680
569,0.728571,0.800000,0.502075,0.424259,0.926334,193.526367
579,0.729825,0.800000,0.516232,0.437222,0.953455,197.338867
589,0.725862,0.500000,0.531831,0.450785,0.982616,200.541992
599,0.723729,0.600000,0.546242,0.464296,1.010538,203.745117
609,0.720000,0.500000,0.560664,0.477758,1.038422,206.948242
619,0.722951,0.900000,0.576626,0.491353,1.067980,209.987305
629,0.722581,0.700000,0.592726,0.505805,1.098531,213.659180
639,0.725397,0.900000,0.608902,0.521126,1.130028,216.997070
649,0.725000,0.700000,0.625384,0.535635,1.161019,221.254883
659,0.726154,0.800000,0.641264,0.550173,1.191437,223.403320
669,0.728788,0.900000,0.657268,0.565037,1.222305,227.192383
679,0.731343,0.900000,0.673513,0.580279,1.253792,230.395508
689,0.732353,0.800000,0.690429,0.595005,1.285435,233.575195
699,0.733333,0.800000,0.708624,0.612154,1.320778,237.387695
709,0.737143,1.000000,0.725219,0.628264,1.353483,240.590820
719,0.739437,0.900000,0.742540,0.643561,1.386101,243.559570
729,0.740278,0.800000,0.758850,0.659037,1.417887,246.622070
739,0.739726,0.700000,0.775545,0.674744,1.450289,249.754883
749,0.741892,0.900000,0.793998,0.690890,1.484888,253.989258
759,0.744000,0.900000,0.811108,0.706913,1.518021,257.192383
769,0.744737,0.800000,0.829223,0.723894,1.553117,261.018555
779,0.744156,0.700000,0.847827,0.740509,1.588335,264.221680
789,0.741026,0.500000,0.865353,0.756815,1.622168,267.424805
799,0.739241,0.600000,0.882928,0.773461,1.656389,270.581055
809,0.741250,0.900000,0.901876,0.790331,1.692207,273.643555
819,0.743210,0.900000,0.919931,0.807463,1.727394,277.291992
829,0.743902,0.800000,0.938161,0.824717,1.762878,280.354492
839,0.744578,0.800000,0.956540,0.842158,1.798698,283.557617
849,0.744048,0.700000,0.976150,0.859670,1.835820,285.706055
859,0.744706,0.800000,0.994641,0.877233,1.871874,289.518555
869,0.745349,0.800000,1.013739,0.895305,1.909044,293.752930
879,0.744828,0.700000,1.034307,0.913811,1.948119,295.901367
889,0.743182,0.600000,1.053198,0.931999,1.985197,299.104492
899,0.743820,0.800000,1.072334,0.950284,2.022618,302.213867
909,0.745556,0.900000,1.092692,0.968703,2.061395,305.885742
919,0.745055,0.700000,1.112326,0.987220,2.099547,308.924805
929,0.744565,0.700000,1.132545,1.006611,2.139155,312.057617
939,0.743011,0.600000,1.153782,1.025631,2.179414,316.291992
949,0.745745,1.000000,1.173982,1.044890,2.218872,320.104492
959,0.745263,0.700000,1.194013,1.063843,2.257856,324.338867
969,0.743750,0.600000,1.219159,1.086313,2.305471,326.487305
979,0.745361,0.900000,1.244044,1.110329,2.354372,329.948242
989,0.744898,0.700000,1.268913,1.133950,2.402863,333.127930
999,0.745455,0.800000,1.293672,1.157615,2.451287,336.799805
1009,0.747000,0.900000,1.320640,1.181369,2.502010,335.510742
1019,0.746535,0.700000,1.346660,1.205607,2.552267,336.528320
1029,0.745098,0.600000,1.371901,1.229535,2.601436,336.528320
1039,0.743689,0.600000,1.399005,1.253870,2.652874,336.551758
1049,0.743269,0.700000,1.425656,1.278560,2.704215,336.551758
1059,0.744762,0.900000,1.451438,1.302795,2.754233,336.551758
1069,0.743396,0.600000,1.479271,1.328069,2.807339,335.497070
1079,0.742056,0.600000,1.505670,1.352866,2.858536,336.551758
1089,0.740741,0.600000,1.531969,1.377750,2.909719,336.551758
1099,0.738532,0.500000,1.559020,1.401887,2.960907,336.551758
1109,0.737273,0.600000,1.584656,1.426484,3.011140,336.551758
1119,0.736036,0.600000,1.610295,1.451183,3.061478,336.551758
1129,0.735714,0.700000,1.637193,1.476026,3.113219,336.551758
1139,0.734513,0.600000,1.662524,1.499539,3.162062,336.551758
1149,0.735088,0.800000,1.688099,1.523705,3.211803,336.551758
1159,0.736522,0.900000,1.713445,1.547647,3.261093,336.551758
1169,0.737931,0.900000,1.740126,1.571774,3.311900,336.551758
1179,0.739316,0.900000,1.765682,1.595669,3.361351,336.551758
1189,0.736441,0.400000,1.791510,1.619786,3.411296,336.551758
1199,0.736134,0.700000,1.818324,1.644002,3.462326,335.497070
1209,0.735833,0.700000,1.845214,1.668773,3.513987,336.551758
1219,0.736364,0.800000,1.875629,1.698618,3.574247,336.551758
1229,0.733607,0.400000,1.902737,1.722890,3.625627,336.551758
1239,0.733333,0.700000,1.927970,1.746783,3.674753,336.551758
1249,0.735484,1.000000,1.953524,1.771210,3.724734,336.551758
1259,0.735200,0.700000,1.981217,1.795988,3.777205,335.497070
1269,0.732540,0.400000,2.006679,1.820153,3.826831,336.551758
1279,0.731496,0.600000,2.032138,1.844316,3.876454,336.854492
1289,0.729688,0.500000,2.058764,1.868205,3.926969,336.854492
1299,0.730233,0.800000,2.084506,1.892763,3.977269,336.854492
1309,0.726923,0.300000,2.109981,1.916920,4.026900,336.854492
1319,0.727481,0.800000,2.135428,1.940684,4.076112,336.854492
1329,0.728030,0.800000,2.162576,1.964717,4.127293,335.799805
1339,0.727820,0.700000,2.188562,1.989579,4.178141,336.854492
1349,0.726866,0.600000,2.214771,2.013994,4.228765,336.854492
1359,0.724444,0.400000,2.242053,2.038571,4.280624,336.854492
1369,0.725735,0.900000,2.267729,2.062508,4.330237,336.854492
1379,0.724818,0.600000,2.293378,2.086542,4.379921,336.854492
1389,0.723913,0.600000,2.319828,2.110388,4.430216,335.799805
1399,0.723022,0.600000,2.344943,2.134265,4.479208,336.854492
1409,0.723571,0.800000,2.370346,2.158294,4.528640,336.854492
1419,0.721986,0.500000,2.396850,2.182042,4.578892,336.854492
1429,0.721831,0.700000,2.422631,2.206200,4.628831,336.854492
1439,0.720280,0.500000,2.448338,2.230476,4.678814,336.854492
1449,0.718750,0.500000,2.475464,2.254808,4.730272,336.854492
1459,0.717241,0.500000,2.500738,2.278745,4.779484,336.854492
