id,mean_acc_[M0],current_acc_[M0],training_time_[M0],testing_time_[M0],total_running_time_[M0],model_size_[M0]
1000,1.000000,1.000000,0.111358,0.000184,0.111542,19.960938
1999,0.809000,0.809000,0.279554,0.141243,0.420798,25.375000
2999,0.800500,0.792000,0.431012,0.268248,0.699260,32.773438
3999,0.825667,0.876000,0.570448,0.385908,0.956356,32.408203
4999,0.829000,0.839000,0.701505,0.493107,1.194612,38.990234
5999,0.816000,0.764000,0.855578,0.598991,1.454569,38.990234
6999,0.817000,0.822000,1.014343,0.717979,1.732322,38.990234
7999,0.815857,0.809000,1.156981,0.796601,1.953582,38.990234
8999,0.824375,0.884000,1.291905,0.885233,2.177137,44.730469
9999,0.826000,0.839000,1.426168,0.990833,2.417001,45.183594
10999,0.829900,0.865000,1.595057,1.101561,2.696617,45.183594
11999,0.827455,0.803000,1.737400,1.187959,2.925359,51.363281
12999,0.827583,0.829000,1.870248,1.278037,3.148285,51.363281
13999,0.832769,0.895000,2.016298,1.369631,3.385930,51.363281
14999,0.827429,0.758000,2.178093,1.480317,3.658410,51.363281
15999,0.817600,0.680000,2.317850,1.569971,3.887821,51.363281
16999,0.814875,0.774000,2.455582,1.650867,4.106450,51.363281
17999,0.815176,0.820000,2.615823,1.747241,4.363064,52.929688
18999,0.818556,0.876000,2.783208,1.840826,4.624034,53.070312
19999,0.814632,0.744000,2.936195,1.964119,4.900314,56.761719
20999,0.810550,0.733000,3.101790,2.090980,5.192770,68.099609
21999,0.810619,0.812000,3.289448,2.221910,5.511358,69.912109
22999,0.807682,0.746000,3.456583,2.311332,5.767915,69.453125
23999,0.800609,0.645000,3.607796,2.442695,6.050491,75.183594
24999,0.799792,0.781000,3.803461,2.568680,6.372142,87.714844
25999,0.799680,0.797000,3.961904,2.700414,6.662318,89.050781
26999,0.799269,0.789000,4.125687,2.817954,6.943641,89.050781
27999,0.797444,0.750000,4.281605,2.939421,7.221025,89.121094
28999,0.795464,0.742000,4.499187,3.087251,7.586438,89.121094
29999,0.795138,0.786000,4.664485,3.197571,7.862057,95.441406
30999,0.794533,0.777000,4.827404,3.312939,8.140343,95.441406
31999,0.790774,0.678000,5.010352,3.434281,8.444633,95.441406
32999,0.787969,0.701000,5.176770,3.572042,8.748812,95.441406
33999,0.784515,0.674000,5.341593,3.700931,9.042524,106.250000
34999,0.782882,0.729000,5.530611,3.853768,9.384379,113.882812
35999,0.783029,0.788000,5.699215,3.969527,9.668742,115.984375
36999,0.782556,0.766000,5.881825,4.079764,9.961589,127.105469
37999,0.780054,0.690000,6.039779,4.186707,10.226487,127.105469
38999,0.778447,0.719000,6.199684,4.310447,10.510131,127.105469
39999,0.778077,0.764000,6.362879,4.413601,10.776480,127.105469
