id,mean_acc_[M0],current_acc_[M0],training_time_[M0],testing_time_[M0],total_running_time_[M0],model_size_[M0]
100,1.000000,1.000000,0.003809,0.001048,0.004857,32.449219
199,0.590000,0.590000,0.009198,0.049288,0.058486,61.769531
299,0.660000,0.730000,0.014545,0.107536,0.122080,92.667969
399,0.676667,0.710000,0.019689,0.180027,0.199716,121.527344
499,0.667500,0.640000,0.025096,0.268608,0.293705,150.785156
599,0.682000,0.740000,0.030190,0.378637,0.408827,180.746094
699,0.706667,0.830000,0.035710,0.509373,0.545083,211.550781
799,0.734286,0.900000,0.041615,0.667116,0.708731,240.433594
899,0.733750,0.730000,0.046906,0.815388,0.862294,270.746094
999,0.745556,0.840000,0.052327,0.989837,1.042165,299.605469
1099,0.754000,0.830000,0.062473,1.196557,1.259030,299.605469
1199,0.760909,0.830000,0.072463,1.402076,1.474539,299.769531
1299,0.763333,0.790000,0.083659,1.657097,1.740756,299.769531
1399,0.771538,0.870000,0.093400,1.855131,1.948531,299.769531
1499,0.784286,0.950000,0.103500,2.055690,2.159190,299.769531
1599,0.793333,0.920000,0.112925,2.253812,2.366737,299.628906
1699,0.800625,0.910000,0.123630,2.493127,2.616756,299.628906
1799,0.787647,0.580000,0.133044,2.693311,2.826354,299.628906
1899,0.779444,0.640000,0.142982,2.905474,3.048456,299.628906
1999,0.772632,0.650000,0.152578,3.108629,3.261207,299.628906
2099,0.772000,0.760000,0.162436,3.312690,3.475127,301.667969
2199,0.769524,0.720000,0.172809,3.533008,3.705817,300.660156
2299,0.769091,0.760000,0.182271,3.732701,3.914972,301.667969
2399,0.768261,0.750000,0.191556,3.930109,4.121664,300.660156
2499,0.765833,0.710000,0.201014,4.127646,4.328660,301.667969
2599,0.768400,0.830000,0.211347,4.348677,4.560023,301.667969
2699,0.771154,0.840000,0.220790,4.551984,4.772774,300.660156
2799,0.770000,0.740000,0.230117,4.748521,4.978638,301.667969
2899,0.772143,0.830000,0.239499,4.949004,5.188503,300.660156
2999,0.772069,0.770000,0.250448,5.188834,5.439282,301.667969
3099,0.774000,0.830000,0.260526,5.404217,5.664742,300.660156
3199,0.770645,0.670000,0.269717,5.603198,5.872915,301.667969
3299,0.771875,0.810000,0.279016,5.803657,6.082673,300.660156
3399,0.775455,0.890000,0.288223,6.005277,6.293500,300.660156
3499,0.776765,0.820000,0.298926,6.237515,6.536441,301.667969
3599,0.782286,0.970000,0.309141,6.457874,6.767015,300.660156
3699,0.784722,0.870000,0.318420,6.657135,6.975555,301.667969
3799,0.785405,0.810000,0.327578,6.857841,7.185419,300.660156
3899,0.787632,0.870000,0.337354,7.068265,7.405619,301.667969
3999,0.788974,0.840000,0.347198,7.284422,7.631620,300.660156
4099,0.790250,0.840000,0.356426,7.483518,7.839944,301.667969
4199,0.793171,0.910000,0.365670,7.681119,8.046789,301.667969
4299,0.793095,0.790000,0.374811,7.877832,8.252644,300.660156
4399,0.791395,0.720000,0.385732,8.121746,8.507478,301.667969
4499,0.794091,0.910000,0.394888,8.321684,8.716573,300.660156
4599,0.793111,0.750000,0.404160,8.524375,8.928535,301.667969
4699,0.795217,0.890000,0.413223,8.719758,9.132981,300.660156
4799,0.797234,0.890000,0.423889,8.962263,9.386152,301.667969
4899,0.799375,0.900000,0.433569,9.171998,9.605567,300.660156
4999,0.798980,0.780000,0.442763,9.371067,9.813829,300.660156
5099,0.797200,0.710000,0.452387,9.570148,10.022534,301.667969
5199,0.798824,0.880000,0.461551,9.768796,10.230347,300.660156
5299,0.798846,0.800000,0.472494,10.012691,10.485185,301.667969
5399,0.793962,0.540000,0.481686,10.210408,10.692094,300.660156
5499,0.794444,0.820000,0.490844,10.407540,10.898384,301.667969
5599,0.794545,0.800000,0.500066,10.604233,11.104299,300.660156
5699,0.794821,0.810000,0.510784,10.835213,11.345997,301.667969
5799,0.792105,0.640000,0.521736,11.074814,11.596550,301.667969
5899,0.792414,0.810000,0.533026,11.336204,11.869230,300.660156
5999,0.791864,0.760000,0.543768,11.569391,12.113159,301.667969
6099,0.791167,0.750000,0.555347,11.824073,12.379420,300.660156
6199,0.791803,0.830000,0.566696,12.091175,12.657871,301.667969
6299,0.792258,0.820000,0.577976,12.345372,12.923348,300.660156
6399,0.791905,0.770000,0.589241,12.615661,13.204902,301.667969
6499,0.793281,0.880000,0.600333,12.858769,13.459102,300.660156
6599,0.792615,0.750000,0.611667,13.108825,13.720492,300.660156
6699,0.791970,0.750000,0.623278,13.358430,13.981708,301.667969
6799,0.793284,0.880000,0.632406,13.556980,14.189386,300.660156
6899,0.794118,0.850000,0.642103,13.756097,14.398201,301.667969
6999,0.793333,0.740000,0.651400,13.958686,14.610087,300.660156
7099,0.793000,0.770000,0.661850,14.186188,14.848038,301.667969
7199,0.791268,0.670000,0.671529,14.401440,15.072969,300.660156
7299,0.790139,0.710000,0.680753,14.600200,15.280952,301.667969
7399,0.788493,0.670000,0.689996,14.796604,15.486600,301.667969
7499,0.788243,0.770000,0.699440,14.996262,15.695702,300.660156
7599,0.787600,0.740000,0.710534,15.223778,15.934312,301.667969
7699,0.788026,0.820000,0.719774,15.420965,16.140739,300.660156
7799,0.788571,0.830000,0.729015,15.618305,16.347320,301.667969
7899,0.789744,0.880000,0.738276,15.818117,16.556393,300.660156
7999,0.789367,0.760000,0.748699,16.050374,16.799073,301.667969
8099,0.790500,0.880000,0.758726,16.262522,17.021248,300.660156
8199,0.790247,0.770000,0.767971,16.457615,17.225586,300.660156
8299,0.792439,0.970000,0.777199,16.656824,17.434023,301.667969
8399,0.793494,0.880000,0.786437,16.853733,17.640171,300.660156
8499,0.793571,0.800000,0.797573,17.107605,17.905178,301.667969
8599,0.794118,0.840000,0.807021,17.311822,18.118843,300.660156
8699,0.794767,0.850000,0.816209,17.509638,18.325847,301.667969
8799,0.795747,0.880000,0.825506,17.709992,18.535499,300.660156
8899,0.797273,0.930000,0.836496,17.966602,18.803098,301.667969
8999,0.796404,0.720000,0.845776,18.165764,19.011539,301.667969
9099,0.796667,0.820000,0.854983,18.363503,19.218486,300.660156
9199,0.798242,0.940000,0.864287,18.562492,19.426778,301.667969
9299,0.796630,0.650000,0.873711,18.762643,19.636353,300.660156
9399,0.796344,0.770000,0.883765,18.977129,19.860894,301.667969
9499,0.795957,0.760000,0.892919,19.175281,20.068200,300.660156
9599,0.796000,0.800000,0.902636,19.380699,20.283336,300.800781
9699,0.795208,0.720000,0.911866,19.576675,20.488541,300.800781
9799,0.796082,0.880000,0.922142,19.794593,20.716735,300.660156
9899,0.796837,0.870000,0.931800,20.008247,20.940047,300.660156
9999,0.795455,0.660000,0.941210,20.209015,21.150225,300.660156
10099,0.796600,0.910000,0.950461,20.406911,21.357373,300.660156
10199,0.797228,0.860000,0.959693,20.606194,21.565887,300.660156
10299,0.797843,0.860000,0.970464,20.836494,21.806957,300.660156
10399,0.797864,0.800000,0.979794,21.036592,22.016386,300.660156
10499,0.797500,0.760000,0.988974,21.232752,22.221726,300.660156
10599,0.797238,0.770000,0.998277,21.431050,22.429327,300.660156
10699,0.796981,0.770000,1.008178,21.641929,22.650107,300.660156
10799,0.797290,0.830000,1.018074,21.857863,22.875937,300.660156
10899,0.796667,0.730000,1.027351,22.056023,23.083374,300.660156
10999,0.797156,0.850000,1.036686,22.256779,23.293466,300.660156
11099,0.797455,0.830000,1.045797,22.452824,23.498622,300.660156
11199,0.796126,0.650000,1.056574,22.686228,23.742802,300.660156
11299,0.794911,0.660000,1.066187,22.891767,23.957954,300.660156
11399,0.794425,0.740000,1.075430,23.089254,24.164684,300.660156
11499,0.794825,0.840000,1.084584,23.286319,24.370904,300.660156
11599,0.793826,0.680000,1.094297,23.496813,24.591109,300.660156
11699,0.793966,0.810000,1.106708,23.763555,24.870263,300.660156
11799,0.794957,0.910000,1.116493,23.973750,25.090243,300.660156
11899,0.792542,0.510000,1.125687,24.174246,25.299933,300.660156
11999,0.791261,0.640000,1.134845,24.374708,25.509553,300.660156
12099,0.791083,0.770000,1.144366,24.577550,25.721915,300.660156
12199,0.790496,0.720000,1.154126,24.787088,25.941214,300.660156
12299,0.789180,0.630000,1.163396,24.985875,26.149270,300.660156
12399,0.789512,0.830000,1.172574,25.183339,26.355913,300.660156
12499,0.788629,0.680000,1.181954,25.384738,26.566692,300.660156
12599,0.788080,0.720000,1.194555,25.680923,26.875477,300.660156
12699,0.788651,0.860000,1.206069,25.927463,27.133532,300.660156
12799,0.788504,0.770000,1.217457,26.160155,27.377612,300.660156
12899,0.788594,0.800000,1.230831,26.436212,27.667043,300.660156
12999,0.788992,0.840000,1.246269,26.765791,28.012061,300.660156
13099,0.788308,0.700000,1.261494,27.034942,28.296436,300.660156
13199,0.788550,0.820000,1.272998,27.270165,28.543163,300.660156
13299,0.788864,0.830000,1.284543,27.522784,28.807327,300.660156
13399,0.789474,0.870000,1.293749,27.721513,29.015262,300.660156
13499,0.789328,0.770000,1.303339,27.922024,29.225363,300.660156
13599,0.789852,0.860000,1.312431,28.117812,29.430243,300.660156
13699,0.790662,0.900000,1.322006,28.324859,29.646864,300.660156
13799,0.791460,0.900000,1.332674,28.565306,29.897980,300.660156
13899,0.791812,0.840000,1.343386,28.802512,30.145899,300.660156
13999,0.792302,0.860000,1.352540,29.001871,30.354412,300.660156
14099,0.791357,0.660000,1.361850,29.200319,30.562169,300.660156
14199,0.790426,0.660000,1.371085,29.398207,30.769292,300.660156
14299,0.790352,0.780000,1.381418,29.617960,30.999378,300.660156
14399,0.789371,0.650000,1.390946,29.826573,31.217519,300.660156
14499,0.789514,0.810000,1.400116,30.026281,31.426397,300.660156
14599,0.789103,0.730000,1.409318,30.224207,31.633525,300.660156
14699,0.789178,0.800000,1.418697,30.426221,31.844918,300.660156
14799,0.789116,0.780000,1.429806,30.665771,32.095577,300.660156
14899,0.788986,0.770000,1.438957,30.864360,32.303318,300.660156
14999,0.788725,0.750000,1.448129,31.061590,32.509719,300.660156
15099,0.787733,0.640000,1.457342,31.260567,32.717910,300.660156
15199,0.788411,0.890000,1.468677,31.501753,32.970430,300.660156
15299,0.788289,0.770000,1.477893,31.699638,33.177530,300.660156
15399,0.788301,0.790000,1.487096,31.897168,33.384264,300.660156
15499,0.788247,0.780000,1.496397,32.097394,33.593791,300.660156
15599,0.788516,0.830000,1.506006,32.300851,33.806857,300.660156
15699,0.787564,0.640000,1.516294,32.518348,34.034642,300.660156
15799,0.786943,0.690000,1.525445,32.717225,34.242670,300.660156
15899,0.786076,0.650000,1.534730,32.913726,34.448456,300.660156
15999,0.785975,0.770000,1.544141,33.117236,34.661376,300.660156
16099,0.784875,0.610000,1.555268,33.364646,34.919913,300.660156
16199,0.785031,0.810000,1.564841,33.581441,35.146283,300.660156
16299,0.784753,0.740000,1.574118,33.781446,35.355564,300.660156
16399,0.784172,0.690000,1.583711,33.989103,35.572814,300.660156
16499,0.783171,0.620000,1.593558,34.201551,35.795109,300.660156
16599,0.782727,0.710000,1.604157,34.443198,36.047355,300.660156
16699,0.782892,0.810000,1.613310,34.641366,36.254677,300.660156
16799,0.782814,0.770000,1.622819,34.845112,36.467932,300.660156
16899,0.782798,0.780000,1.632014,35.042087,36.674101,300.660156
16999,0.782899,0.800000,1.642513,35.266756,36.909269,300.660156
17099,0.783412,0.870000,1.651730,35.464406,37.116136,300.660156
17199,0.783041,0.720000,1.661003,35.663074,37.324078,300.660156
17299,0.783663,0.890000,1.670463,35.865069,37.535532,300.660156
17399,0.783064,0.680000,1.680428,36.082710,37.763139,300.660156
17499,0.782529,0.690000,1.690787,36.319586,38.010373,300.660156
17599,0.782514,0.780000,1.700038,36.532181,38.232219,300.660156
17699,0.782784,0.830000,1.709208,36.753890,38.463098,300.660156
17799,0.782881,0.800000,1.718965,36.988206,38.707171,300.660156
17899,0.782978,0.800000,1.729128,37.234098,38.963227,300.660156
17999,0.783184,0.820000,1.738615,37.452004,39.190619,300.660156
18099,0.782889,0.730000,1.748126,37.668208,39.416334,300.660156
18199,0.783094,0.820000,1.757373,37.873710,39.631083,300.660156
18299,0.783132,0.790000,1.768290,38.126200,39.894490,300.660156
18399,0.783770,0.900000,1.777782,38.332343,40.110124,300.660156
18499,0.784130,0.850000,1.787042,38.535670,40.322712,300.660156
18599,0.784703,0.890000,1.796550,38.744900,40.541450,300.660156
18699,0.785161,0.870000,1.806488,38.963070,40.769558,300.660156
18799,0.785722,0.890000,1.816822,39.189108,41.005929,300.800781
18899,0.786170,0.870000,1.825988,39.390967,41.216955,300.800781
18999,0.786508,0.850000,1.835147,39.592626,41.427773,300.660156
19099,0.786000,0.690000,1.844742,39.804188,41.648930,300.660156
19199,0.784817,0.560000,1.855619,40.043015,41.898633,300.660156
19299,0.785052,0.830000,1.864878,40.246895,42.111773,300.660156
19399,0.785181,0.810000,1.874085,40.450208,42.324293,300.660156
19499,0.784897,0.730000,1.883272,40.652620,42.535892,300.660156
19599,0.785436,0.890000,1.893206,40.868389,42.761595,300.660156
19699,0.785663,0.830000,1.903791,41.095997,42.999788,300.660156
19799,0.785584,0.770000,1.913071,41.298853,43.211924,300.660156
19899,0.785859,0.840000,1.922296,41.501184,43.423480,300.660156
19999,0.785980,0.810000,1.931548,41.705598,43.637146,300.660156
20099,0.785550,0.700000,1.942055,41.935197,43.877252,300.660156
20199,0.785771,0.830000,1.951275,42.137159,44.088434,300.660156
20299,0.784752,0.580000,1.960413,42.338820,44.299234,300.660156
20399,0.784877,0.810000,1.969653,42.541318,44.510971,300.660156
20499,0.783775,0.560000,1.979660,42.758547,44.738207,300.660156
20599,0.783171,0.660000,1.989592,42.976793,44.966386,300.660156
20699,0.783010,0.750000,1.998769,43.177422,45.176191,300.660156
20799,0.782754,0.730000,2.007965,43.379274,45.387239,300.660156
20899,0.782837,0.800000,2.017436,43.586079,45.603515,300.660156
20999,0.782584,0.730000,2.028350,43.836942,45.865293,300.660156
21099,0.782524,0.770000,2.037522,44.038600,46.076122,300.660156
21199,0.782654,0.810000,2.046742,44.241204,46.287946,300.660156
21299,0.782783,0.810000,2.056066,44.445982,46.502047,300.660156
21399,0.782770,0.780000,2.067248,44.712161,46.779409,300.660156
21499,0.782944,0.820000,2.076971,44.926642,47.003614,300.660156
21599,0.782837,0.760000,2.086143,45.128872,47.215015,300.660156
21699,0.782824,0.780000,2.095577,45.337282,47.432859,300.660156
21799,0.782719,0.760000,2.105151,45.546325,47.651476,300.660156
21899,0.782523,0.740000,2.115603,45.768123,47.883727,300.660156
21999,0.782466,0.770000,2.124813,45.971020,48.095833,300.660156
22099,0.781818,0.640000,2.134484,46.183369,48.317853,300.660156
22199,0.782127,0.850000,2.143678,46.386365,48.530043,300.660156
22299,0.782117,0.780000,2.155338,46.652003,48.807341,300.660156
22399,0.782108,0.780000,2.164512,46.855238,49.019750,300.660156
22499,0.781920,0.740000,2.174028,47.064031,49.238059,300.660156
22599,0.780711,0.510000,2.183239,47.267186,49.450424,300.660156
22699,0.781460,0.950000,2.193364,47.488473,49.681837,300.660156
22799,0.781586,0.810000,2.203586,47.714828,49.918414,300.660156
22899,0.781447,0.750000,2.212921,47.919823,50.132745,300.660156
22999,0.781310,0.750000,2.222174,48.122753,50.344928,300.660156
23099,0.781348,0.790000,2.231363,48.325090,50.556453,300.660156
23199,0.781082,0.720000,2.243122,48.590169,50.833292,300.660156
23299,0.780603,0.670000,2.252729,48.799933,51.052661,300.660156
23399,0.780987,0.870000,2.261935,49.003178,51.265113,300.660156
23499,0.780684,0.710000,2.271195,49.204649,51.475844,300.660156
23599,0.779702,0.550000,2.282430,49.456638,51.739068,300.660156
23699,0.779831,0.810000,2.291995,49.666932,51.958927,300.660156
23799,0.779705,0.750000,2.301323,49.869789,52.171113,300.660156
23899,0.778529,0.500000,2.310525,50.072091,52.382616,300.660156
23999,0.778494,0.770000,2.319949,50.278713,52.598663,300.660156
24099,0.778875,0.870000,2.330628,50.507202,52.837830,300.660156
24199,0.779129,0.840000,2.339872,50.711036,53.050908,300.660156
24299,0.779174,0.790000,2.349142,50.914079,53.263221,300.660156
24399,0.779300,0.810000,2.358264,51.115786,53.474050,300.660156
24499,0.779303,0.780000,2.368614,51.341977,53.710591,300.660156
24599,0.779143,0.740000,2.377778,51.543773,53.921551,300.660156
24699,0.778577,0.640000,2.387088,51.746940,54.134029,300.660156
24799,0.777976,0.630000,2.396242,51.947739,54.343981,300.660156
24899,0.778105,0.810000,2.407093,52.187410,54.594503,300.660156
24999,0.778153,0.790000,2.416570,52.394498,54.811068,300.660156
25099,0.777800,0.690000,2.425873,52.597300,55.023172,300.660156
25199,0.777490,0.700000,2.435008,52.798554,55.233562,300.660156
25299,0.777302,0.730000,2.444649,53.009111,55.453761,300.660156
25399,0.776917,0.680000,2.455546,53.265765,55.721311,300.660156
25499,0.777008,0.800000,2.464744,53.468552,55.933296,300.660156
25599,0.776784,0.720000,2.473898,53.670027,56.143925,300.660156
