id,mean_acc_[M0],current_acc_[M0],training_time_[M0],testing_time_[M0],total_running_time_[M0],model_size_[M0]
100,1.000000,1.000000,0.044023,0.000652,0.044675,36.723633
199,0.590000,0.590000,0.101517,0.045850,0.147367,66.594727
299,0.660000,0.730000,0.172984,0.104603,0.277588,96.989258
399,0.676667,0.710000,0.256290,0.175065,0.431355,125.963867
499,0.667500,0.640000,0.365213,0.269721,0.634934,156.956055
599,0.682000,0.740000,0.487480,0.378873,0.866353,185.098633
699,0.706667,0.830000,0.625616,0.502738,1.128355,215.291992
799,0.734286,0.900000,0.774079,0.638347,1.412426,245.196289
899,0.733750,0.730000,0.963019,0.810040,1.773059,274.454102
999,0.745556,0.840000,1.151440,0.983149,2.134590,305.399414
1099,0.754000,0.830000,1.388901,1.199371,2.588273,305.385742
1199,0.760909,0.830000,1.612246,1.402478,3.014724,305.362305
1299,0.763333,0.790000,1.847762,1.617360,3.465122,305.418945
1399,0.771538,0.870000,2.067133,1.816716,3.883848,305.418945
1499,0.784286,0.950000,2.282461,2.012168,4.294629,306.762695
1599,0.793333,0.920000,2.508757,2.217698,4.726455,306.879883
1699,0.800625,0.910000,2.728285,2.415843,5.144128,306.870117
1799,0.787647,0.580000,2.966910,2.634446,5.601356,306.870117
1899,0.779444,0.640000,3.184735,2.834154,6.018889,306.893555
1999,0.772632,0.650000,3.407569,3.036966,6.444535,306.870117
2099,0.772000,0.760000,3.628792,3.237396,6.866187,306.893555
2199,0.769524,0.720000,3.847698,3.435501,7.283199,306.856445
2299,0.769091,0.760000,4.075828,3.641760,7.717588,306.879883
2399,0.768261,0.750000,4.298069,3.845884,8.143953,306.856445
2499,0.765833,0.710000,4.538176,4.065304,8.603480,306.879883
2599,0.768400,0.830000,4.756765,4.262905,9.019671,306.879883
2699,0.771154,0.840000,4.991626,4.473159,9.464785,307.168945
2799,0.770000,0.740000,5.208610,4.670289,9.878900,307.192383
2899,0.772143,0.830000,5.444183,4.884447,10.328629,307.168945
2999,0.772069,0.770000,5.661161,5.083127,10.744288,306.907227
3099,0.774000,0.830000,5.887273,5.289101,11.176374,306.907227
3199,0.770645,0.670000,6.110709,5.493097,11.603806,307.196289
3299,0.771875,0.810000,6.329109,5.689845,12.018954,307.196289
3399,0.775455,0.890000,6.563840,5.903834,12.467674,307.196289
