id,mean_acc_[M0],current_acc_[M0],training_time_[M0],testing_time_[M0],total_running_time_[M0],model_size_[M0]
10,0.000000,0.000000,0.004572,0.000540,0.005112,10.963867
19,0.800000,0.800000,0.008325,0.003002,0.011327,11.524414
29,0.800000,0.800000,0.011811,0.005197,0.017008,11.524414
39,0.866667,1.000000,0.016522,0.007823,0.024345,12.094727
49,0.900000,1.000000,0.019343,0.009715,0.029058,12.094727
59,0.900000,0.900000,0.022035,0.011508,0.033543,12.094727
69,0.916667,1.000000,0.025138,0.013160,0.038298,12.094727
79,0.900000,0.800000,0.027682,0.014796,0.042478,12.641602
89,0.912500,1.000000,0.030632,0.016712,0.047345,12.641602
99,0.922222,1.000000,0.034247,0.018570,0.052818,12.641602
109,0.930000,1.000000,0.037086,0.020426,0.057512,12.627930
119,0.936364,1.000000,0.039918,0.022276,0.062193,12.641602
129,0.941667,1.000000,0.043560,0.024124,0.067684,12.641602
139,0.946154,1.000000,0.046456,0.025979,0.072435,12.641602
149,0.950000,1.000000,0.052494,0.027833,0.080328,7.224609
159,0.946667,0.900000,0.054730,0.028903,0.083633,12.989258
169,0.943750,0.900000,0.058046,0.029987,0.088033,14.885742
179,0.935294,0.800000,0.060587,0.031043,0.091630,15.352539
189,0.916667,0.600000,0.065021,0.032483,0.097504,16.493164
199,0.878947,0.200000,0.068411,0.033945,0.102357,16.493164
209,0.870000,0.700000,0.071896,0.035414,0.107310,16.493164
219,0.852381,0.500000,0.076471,0.036897,0.113368,16.493164
229,0.850000,0.800000,0.080017,0.038373,0.118391,17.610352
239,0.847826,0.800000,0.083457,0.039848,0.123305,17.610352
249,0.833333,0.500000,0.088289,0.041326,0.129615,17.610352
259,0.828000,0.700000,0.091754,0.042794,0.134548,17.596680
269,0.823077,0.700000,0.095188,0.044261,0.139450,17.610352
279,0.825926,0.900000,0.100069,0.045735,0.145805,17.610352
289,0.832143,1.000000,0.103594,0.047208,0.150801,17.624023
299,0.837931,1.000000,0.109214,0.048423,0.157637,16.551758
309,0.840000,0.900000,0.112745,0.049416,0.162161,23.120117
319,0.845161,1.000000,0.115520,0.050383,0.165904,24.274414
329,0.850000,1.000000,0.118783,0.051355,0.170137,24.274414
339,0.839394,0.500000,0.122330,0.052364,0.174694,26.633789
349,0.841176,0.900000,0.127222,0.053754,0.180975,26.633789
359,0.842857,0.900000,0.132577,0.055276,0.187853,26.647461
369,0.847222,1.000000,0.137291,0.056796,0.194086,26.647461
379,0.843243,0.700000,0.143463,0.058327,0.201789,27.217773
389,0.842105,0.800000,0.148156,0.059885,0.208040,27.764648
399,0.846154,1.000000,0.153490,0.061403,0.214893,27.764648
409,0.832500,0.300000,0.159785,0.062929,0.222714,27.780273
419,0.831707,0.800000,0.164375,0.064400,0.228775,27.780273
429,0.835714,1.000000,0.169810,0.065961,0.235772,27.780273
439,0.837209,0.900000,0.176363,0.067501,0.243864,27.780273
449,0.840909,1.000000,0.181114,0.069018,0.250132,27.780273
459,0.831111,0.400000,0.189462,0.070648,0.260111,28.350586
469,0.828261,0.700000,0.195965,0.072182,0.268147,29.528320
479,0.825532,0.700000,0.200674,0.073750,0.274424,29.528320
489,0.825000,0.800000,0.206225,0.075278,0.281503,29.528320
499,0.824490,0.800000,0.210842,0.076786,0.287627,29.528320
509,0.828000,1.000000,0.217128,0.078267,0.295394,29.514648
519,0.827451,0.800000,0.222588,0.079748,0.302336,30.098633
529,0.828846,0.900000,0.227061,0.081182,0.308243,30.098633
539,0.832075,1.000000,0.231962,0.082480,0.314442,30.098633
549,0.835185,1.000000,0.237643,0.084092,0.321735,30.098633
559,0.838182,1.000000,0.243188,0.085613,0.328801,30.114258
569,0.837500,0.800000,0.249083,0.087139,0.336222,30.114258
579,0.840351,1.000000,0.253946,0.088446,0.342393,30.129883
589,0.843103,1.000000,0.259778,0.089848,0.349626,30.116211
599,0.830508,0.100000,0.265532,0.091381,0.356913,30.116211
609,0.818333,0.100000,0.270236,0.092926,0.363162,30.116211
619,0.819672,0.900000,0.276304,0.094314,0.370618,31.270508
629,0.820968,0.900000,0.280726,0.095467,0.376193,35.422852
639,0.820635,0.800000,0.284103,0.096667,0.380770,35.422852
649,0.821875,0.900000,0.290756,0.097857,0.388614,34.958008
659,0.820000,0.700000,0.295192,0.098872,0.394064,39.750977
