id,mean_acc_[M0],current_acc_[M0],training_time_[M0],testing_time_[M0],total_running_time_[M0],model_size_[M0]
100,1.000000,1.000000,0.007062,0.000269,0.007331,5.275391
199,0.750000,0.750000,0.019164,0.011847,0.031011,5.298828
299,0.805000,0.860000,0.028080,0.023379,0.051459,5.298828
399,0.816667,0.840000,0.039887,0.034899,0.074786,5.298828
499,0.807500,0.780000,0.048743,0.046298,0.095041,5.298828
599,0.808000,0.810000,0.060486,0.057694,0.118180,5.298828
699,0.803333,0.780000,0.069327,0.068979,0.138306,5.298828
799,0.805714,0.820000,0.081033,0.080370,0.161403,5.298828
899,0.803750,0.790000,0.090008,0.091699,0.181707,5.298828
999,0.797778,0.750000,0.101733,0.102948,0.204681,5.298828
1099,0.806000,0.880000,0.110523,0.114208,0.224731,5.298828
1199,0.806364,0.810000,0.122114,0.125363,0.247477,5.298828
1299,0.807500,0.820000,0.130818,0.136521,0.267339,5.298828
1399,0.811538,0.860000,0.142389,0.147667,0.290056,5.298828
1499,0.811429,0.810000,0.151052,0.158856,0.309908,5.298828
1599,0.812000,0.820000,0.162632,0.170001,0.332633,5.298828
1699,0.811875,0.810000,0.171306,0.181173,0.352479,5.298828
1799,0.808824,0.760000,0.184386,0.193132,0.377517,5.298828
1899,0.810556,0.840000,0.194574,0.205900,0.400474,5.298828
1999,0.811579,0.830000,0.212016,0.224242,0.436258,5.298828
2099,0.812500,0.830000,0.222630,0.238113,0.460744,5.298828
2199,0.810952,0.780000,0.236681,0.252608,0.489289,5.298828
2299,0.813182,0.860000,0.245482,0.263927,0.509409,5.298828
2399,0.815652,0.870000,0.257152,0.275224,0.532377,5.298828
2499,0.815833,0.820000,0.265848,0.286423,0.552271,5.298828
2599,0.816000,0.820000,0.277406,0.297552,0.574959,5.298828
2699,0.815769,0.810000,0.286125,0.308655,0.594780,5.298828
2799,0.815185,0.800000,0.297632,0.319838,0.617470,5.298828
2899,0.813571,0.770000,0.306304,0.330935,0.637240,5.298828
2999,0.814138,0.830000,0.317800,0.342062,0.659862,5.298828
3099,0.814333,0.820000,0.326842,0.353615,0.680457,5.298828
3199,0.813871,0.800000,0.338479,0.364699,0.703178,5.298828
3299,0.814375,0.830000,0.347226,0.375824,0.723050,5.298828
3399,0.815455,0.850000,0.358984,0.386911,0.745895,3.125977
3499,0.811176,0.670000,0.367648,0.393969,0.761618,9.125000
3599,0.810286,0.780000,0.378049,0.404522,0.782571,9.125000
3699,0.810000,0.800000,0.387366,0.414197,0.801563,9.125000
3799,0.809730,0.800000,0.399285,0.421711,0.820996,12.787109
3899,0.810789,0.850000,0.408304,0.429987,0.838292,12.787109
3999,0.811026,0.820000,0.420253,0.438002,0.858255,12.787109
4099,0.809500,0.750000,0.430570,0.447530,0.878101,12.787109
4199,0.810488,0.850000,0.442920,0.456349,0.899269,12.787109
4299,0.811190,0.840000,0.451950,0.465000,0.916950,12.787109
4399,0.811860,0.840000,0.460908,0.475101,0.936008,12.787109
4499,0.811818,0.810000,0.469989,0.484694,0.954684,12.787109
4599,0.812444,0.840000,0.484822,0.494605,0.979428,12.787109
4699,0.813043,0.840000,0.493853,0.504472,0.998325,12.787109
4799,0.813191,0.820000,0.502907,0.514463,1.017370,12.787109
4899,0.813333,0.820000,0.514769,0.524426,1.039195,12.787109
4999,0.813673,0.830000,0.526635,0.534541,1.061176,12.787109
5099,0.813200,0.790000,0.538561,0.544513,1.083074,12.787109
5199,0.811961,0.750000,0.547638,0.554556,1.102195,12.787109
5299,0.812115,0.820000,0.556600,0.565380,1.121981,12.787109
5399,0.811509,0.780000,0.566003,0.576279,1.142281,12.787109
5499,0.810926,0.780000,0.579970,0.589070,1.169040,12.787109
5599,0.811273,0.830000,0.591740,0.602698,1.194438,12.787109
5699,0.812321,0.870000,0.611652,0.619544,1.231196,12.787109
5799,0.813158,0.860000,0.624017,0.634343,1.258359,12.787109
5899,0.813276,0.820000,0.636322,0.644915,1.281237,12.787109
5999,0.812881,0.790000,0.645363,0.655411,1.300774,12.787109
6099,0.813333,0.840000,0.654738,0.666121,1.320859,12.787109
6199,0.814426,0.880000,0.669497,0.676668,1.346165,12.787109
6299,0.814032,0.790000,0.681426,0.687098,1.368523,12.787109
6399,0.813492,0.780000,0.690419,0.697515,1.387934,12.787109
6499,0.812969,0.780000,0.699464,0.707959,1.407423,12.787109
6599,0.813231,0.830000,0.708414,0.718357,1.426771,12.787109
6699,0.813636,0.840000,0.720380,0.728911,1.449292,12.787109
6799,0.814179,0.850000,0.732256,0.739375,1.471631,12.787109
6899,0.814412,0.830000,0.741260,0.749961,1.491221,12.787109
6999,0.813913,0.780000,0.750336,0.760427,1.510763,12.787109
7099,0.814286,0.840000,0.762336,0.770919,1.533255,12.787109
7199,0.814225,0.810000,0.771433,0.781448,1.552881,12.787109
7299,0.814444,0.830000,0.780455,0.791982,1.572437,12.787109
7399,0.815342,0.880000,0.795236,0.802884,1.598120,12.787109
7499,0.816351,0.890000,0.807156,0.813564,1.620721,12.787109
7599,0.816133,0.800000,0.816167,0.824005,1.640172,12.787109
7699,0.816447,0.840000,0.825371,0.834647,1.660017,12.787109
7799,0.816364,0.810000,0.834484,0.845200,1.679684,12.787109
7899,0.815897,0.780000,0.849583,0.856028,1.705611,12.787109
7999,0.816329,0.850000,0.858725,0.866552,1.725277,12.787109
8099,0.816500,0.830000,0.867958,0.877311,1.745268,12.787109
8199,0.816296,0.800000,0.877124,0.887861,1.764986,12.787109
8299,0.816829,0.860000,0.889205,0.898531,1.787736,12.787109
8399,0.816386,0.780000,0.898257,0.909068,1.807324,12.787109
8499,0.816548,0.830000,0.910169,0.919584,1.829753,12.787109
8599,0.816941,0.850000,0.922100,0.930237,1.852337,12.787109
8699,0.817558,0.870000,0.934014,0.940738,1.874752,12.787109
8799,0.816322,0.710000,0.944976,0.952374,1.897351,12.787109
8899,0.816477,0.830000,0.954055,0.963002,1.917057,12.787109
8999,0.816180,0.790000,0.963087,0.973495,1.936581,12.787109
9099,0.815667,0.770000,0.979373,0.988666,1.968038,12.787109
9199,0.816593,0.900000,0.997404,1.003938,2.001342,12.787109
9299,0.817283,0.880000,1.010642,1.018996,2.029638,12.787109
9399,0.816989,0.790000,1.019787,1.029591,2.049377,12.787109
9499,0.817872,0.900000,1.028844,1.040117,2.068961,12.787109
9599,0.818000,0.830000,1.040832,1.050666,2.091498,12.787109
9699,0.818021,0.820000,1.052971,1.060856,2.113827,16.449219
9799,0.818041,0.820000,1.066232,1.071496,2.137729,16.449219
9899,0.817653,0.780000,1.075370,1.080974,2.156344,16.449219
9999,0.817980,0.850000,1.087318,1.090738,2.178056,16.449219
10099,0.818000,0.820000,1.096813,1.100919,2.197732,16.449219
10199,0.817921,0.810000,1.106047,1.110694,2.216741,16.449219
10299,0.818431,0.870000,1.115208,1.120072,2.235281,16.449219
10399,0.818932,0.870000,1.127014,1.129592,2.256606,19.855469
10499,0.818846,0.810000,1.139363,1.138145,2.277507,20.097656
10599,0.818952,0.830000,1.148558,1.146333,2.294891,20.097656
10699,0.819151,0.840000,1.157730,1.154914,2.312644,20.097656
10799,0.819533,0.860000,1.166998,1.163461,2.330459,20.097656
10899,0.819630,0.830000,1.176131,1.172318,2.348449,20.097656
10999,0.819541,0.810000,1.188028,1.180988,2.369016,20.097656
11099,0.819727,0.840000,1.200035,1.189458,2.389493,20.097656
11199,0.819459,0.790000,1.209209,1.198055,2.407264,20.097656
11299,0.819018,0.770000,1.221220,1.206856,2.428076,20.097656
11399,0.819558,0.880000,1.233301,1.215266,2.448566,20.097656
11499,0.819474,0.810000,1.242528,1.223629,2.466157,20.097656
11599,0.819739,0.850000,1.254554,1.232374,2.486928,20.097656
11699,0.820259,0.880000,1.263761,1.240963,2.504723,20.097656
11799,0.820684,0.870000,1.275912,1.249337,2.525249,22.818359
11899,0.820678,0.820000,1.285117,1.257887,2.543005,23.746094
11999,0.821008,0.860000,1.294352,1.266544,2.560896,23.746094
12099,0.821167,0.840000,1.306839,1.275560,2.582399,23.746094
12199,0.821405,0.850000,1.318920,1.284389,2.603309,23.746094
12299,0.821721,0.860000,1.328099,1.292662,2.620761,23.746094
12399,0.821626,0.810000,1.340810,1.301907,2.642717,23.746094
12499,0.821694,0.830000,1.349976,1.310275,2.660250,23.746094
12599,0.821120,0.750000,1.359150,1.318378,2.677528,23.746094
12699,0.821111,0.820000,1.368782,1.327039,2.695821,23.746094
12799,0.821339,0.850000,1.388609,1.340643,2.729252,23.746094
12899,0.821875,0.890000,1.406225,1.352750,2.758975,23.746094
12999,0.821938,0.830000,1.416398,1.361708,2.778105,23.746094
13099,0.822154,0.850000,1.428588,1.370071,2.798659,27.394531
13199,0.822672,0.890000,1.437814,1.378176,2.815990,27.394531
13299,0.822348,0.780000,1.447105,1.386225,2.833330,27.394531
13399,0.822030,0.780000,1.459509,1.394953,2.854462,30.115234
13499,0.822015,0.820000,1.468736,1.404225,2.872962,30.800781
13599,0.822148,0.840000,1.482120,1.414473,2.896594,31.042969
13699,0.821912,0.790000,1.494416,1.424240,2.918656,31.042969
13799,0.821898,0.820000,1.503834,1.434137,2.937971,31.042969
13899,0.821739,0.800000,1.515985,1.444158,2.960144,31.042969
13999,0.822014,0.860000,1.525326,1.453776,2.979102,31.042969
14099,0.821786,0.790000,1.535050,1.463666,2.998716,31.042969
14199,0.822270,0.890000,1.544599,1.473389,3.017989,31.042969
14299,0.822394,0.840000,1.553891,1.482786,3.036678,31.042969
14399,0.822238,0.800000,1.563242,1.492724,3.055966,31.042969
14499,0.822222,0.820000,1.578179,1.502324,3.080503,31.042969
14599,0.822069,0.800000,1.587502,1.512301,3.099802,31.042969
14699,0.822192,0.840000,1.599697,1.522078,3.121774,31.042969
14799,0.822449,0.860000,1.611880,1.532103,3.143983,31.042969
