id,mean_acc_[M0],current_acc_[M0],training_time_[M0],testing_time_[M0],total_running_time_[M0],model_size_[M0]
100,0.000000,0.000000,0.018526,0.000276,0.018802,10.077148
199,0.460000,0.460000,0.043374,0.014903,0.058278,10.670898
299,0.540000,0.620000,0.068653,0.029295,0.097948,10.700195
399,0.543333,0.550000,0.090918,0.043710,0.134628,11.260742
499,0.560000,0.610000,0.116690,0.058019,0.174709,11.274414
599,0.560000,0.560000,0.142215,0.072386,0.214601,11.260742
699,0.563333,0.580000,0.165304,0.086930,0.252233,11.831055
799,0.558571,0.530000,0.192221,0.101381,0.293603,11.831055
899,0.552500,0.510000,0.218125,0.115725,0.333851,11.844727
999,0.554444,0.570000,0.240954,0.130018,0.370973,11.844727
1099,0.567000,0.680000,0.266593,0.144146,0.410739,11.831055
1199,0.573636,0.640000,0.293661,0.158602,0.452263,11.831055
1299,0.578333,0.630000,0.316449,0.172557,0.489006,12.377930
1399,0.582308,0.630000,0.343915,0.187768,0.531684,12.377930
1499,0.576429,0.500000,0.371356,0.202842,0.574198,12.377930
1599,0.576000,0.570000,0.395523,0.216914,0.612437,12.377930
1699,0.579375,0.630000,0.421305,0.231019,0.652323,12.377930
1799,0.581765,0.620000,0.447421,0.245198,0.692619,12.391602
1899,0.581111,0.570000,0.474274,0.261547,0.735821,12.391602
1999,0.585789,0.670000,0.517092,0.284389,0.801482,12.391602
2099,0.585000,0.570000,0.553979,0.305894,0.859873,12.377930
2199,0.583333,0.550000,0.592687,0.326501,0.919189,12.377930
2299,0.585455,0.630000,0.617180,0.341195,0.958375,12.377930
2399,0.586087,0.600000,0.645421,0.356247,1.001668,12.377930
2499,0.584583,0.550000,0.671226,0.369473,1.040699,16.897461
2599,0.585200,0.600000,0.702245,0.382250,1.084495,19.739258
2699,0.582308,0.510000,0.734047,0.392969,1.127016,20.879883
2799,0.580000,0.520000,0.762298,0.403524,1.165822,22.049805
2899,0.579643,0.570000,0.792856,0.413921,1.206776,22.065430
2999,0.578966,0.560000,0.828942,0.425987,1.254929,22.598633
3099,0.580333,0.620000,0.874321,0.442251,1.316572,23.766602
3199,0.579677,0.560000,0.909818,0.455231,1.365049,23.752930
3299,0.580313,0.600000,0.947024,0.467806,1.414830,26.672852
3399,0.582121,0.640000,0.979531,0.478191,1.457722,30.950195
