id,mean_acc_[M0],current_acc_[M0],training_time_[M0],testing_time_[M0],total_running_time_[M0],model_size_[M0]
100,1.000000,1.000000,0.002929,0.000851,0.003780,22.652344
199,0.420000,0.420000,0.007726,0.040635,0.048360,43.863281
299,0.455000,0.490000,0.012650,0.088766,0.101416,63.699219
399,0.456667,0.460000,0.017593,0.144229,0.161822,83.839844
499,0.457500,0.460000,0.022500,0.207162,0.229662,104.847656
599,0.472000,0.530000,0.027410,0.284529,0.311939,125.339844
699,0.483333,0.540000,0.033359,0.387387,0.420746,146.535156
799,0.498571,0.590000,0.039173,0.495216,0.534389,166.417969
899,0.498750,0.500000,0.044475,0.600023,0.644498,187.542969
999,0.504444,0.550000,0.049500,0.714361,0.763860,208.457031
1099,0.520000,0.660000,0.058898,0.846430,0.905328,207.566406
1199,0.520000,0.520000,0.068111,0.975430,1.043542,207.285156
1299,0.530000,0.640000,0.077231,1.103506,1.180737,207.285156
1399,0.536923,0.620000,0.087408,1.244451,1.331859,207.285156
1499,0.533571,0.490000,0.098410,1.405584,1.503994,207.285156
1599,0.530667,0.490000,0.107295,1.534684,1.641979,207.519531
1699,0.528125,0.490000,0.116289,1.664404,1.780693,207.519531
1799,0.532941,0.610000,0.125128,1.792476,1.917604,207.519531
1899,0.529444,0.470000,0.133935,1.920567,2.054502,207.519531
1999,0.532105,0.580000,0.142903,2.050486,2.193389,207.519531
2099,0.535000,0.590000,0.153081,2.195425,2.348506,207.519531
2199,0.537143,0.580000,0.162711,2.334617,2.497328,207.519531
2299,0.539091,0.580000,0.171553,2.463017,2.634570,207.519531
2399,0.541304,0.590000,0.180431,2.591432,2.771863,207.519531
2499,0.545417,0.640000,0.189222,2.719281,2.908503,207.519531
2599,0.549200,0.640000,0.197964,2.847044,3.045009,207.519531
2699,0.545769,0.460000,0.206979,2.976491,3.183470,207.519531
2799,0.542593,0.460000,0.218015,3.144391,3.362406,207.519531
2899,0.541071,0.500000,0.227012,3.274399,3.501410,207.519531
2999,0.541724,0.560000,0.235900,3.403135,3.639034,208.410156
3099,0.539000,0.460000,0.244657,3.531286,3.775944,207.519531
3199,0.540323,0.580000,0.253394,3.659220,3.912614,207.519531
3299,0.538438,0.480000,0.262163,3.788460,4.050623,207.519531
3399,0.535455,0.440000,0.272066,3.939956,4.212022,207.519531
3499,0.534706,0.510000,0.282298,4.098944,4.381242,207.519531
3599,0.533429,0.490000,0.291098,4.227458,4.518556,207.519531
3699,0.531667,0.470000,0.300202,4.354884,4.655086,207.519531
3799,0.534324,0.630000,0.308918,4.482194,4.791112,207.519531
3899,0.536053,0.600000,0.317749,4.611595,4.929344,207.519531
3999,0.537692,0.600000,0.326511,4.740081,5.066592,207.519531
4099,0.537750,0.540000,0.338238,4.931548,5.269786,207.519531
4199,0.536341,0.480000,0.347029,5.059938,5.406967,207.519531
4299,0.539048,0.650000,0.355764,5.188066,5.543830,207.519531
4399,0.539070,0.540000,0.364467,5.315624,5.680091,207.519531
4499,0.538182,0.500000,0.373221,5.444001,5.817221,207.519531
4599,0.538000,0.530000,0.381931,5.572000,5.953931,207.519531
4699,0.536739,0.480000,0.391482,5.713495,6.104976,207.519531
