id,mean_acc_[M0],current_acc_[M0],training_time_[M0],testing_time_[M0],total_running_time_[M0],model_size_[M0]
100,1.000000,1.000000,0.042126,0.000611,0.042736,26.270508
199,0.420000,0.420000,0.093950,0.040234,0.134184,47.563477
299,0.455000,0.490000,0.171140,0.101091,0.272231,67.036133
399,0.456667,0.460000,0.239446,0.156883,0.396329,87.891602
499,0.457500,0.460000,0.315706,0.219773,0.535478,109.026367
599,0.472000,0.530000,0.406394,0.296790,0.703184,128.885742
699,0.483333,0.540000,0.503222,0.381373,0.884595,151.143555
799,0.498571,0.590000,0.609808,0.474644,1.084453,171.040039
899,0.498750,0.500000,0.737346,0.586982,1.324327,192.690430
999,0.504444,0.550000,0.870793,0.707652,1.578445,213.885742
1099,0.520000,0.660000,1.016746,0.835984,1.852729,212.104492
1199,0.520000,0.520000,1.177451,0.978098,2.155549,213.909180
1299,0.530000,0.640000,1.324620,1.107737,2.432356,213.307617
1399,0.536923,0.620000,1.471523,1.237135,2.708657,213.307617
1499,0.533571,0.490000,1.618998,1.365725,2.984724,212.416992
1599,0.530667,0.490000,1.775583,1.502915,3.278497,213.063477
1699,0.528125,0.490000,1.927102,1.635102,3.562204,212.172852
1799,0.532941,0.610000,2.072608,1.762874,3.835482,212.159180
1899,0.529444,0.470000,2.240300,1.910068,4.150368,213.049805
1999,0.532105,0.580000,2.387748,2.039192,4.426940,212.159180
2099,0.535000,0.590000,2.533503,2.167009,4.700511,213.049805
2199,0.537143,0.580000,2.685018,2.299800,4.984818,212.159180
2299,0.539091,0.580000,2.840762,2.435235,5.275997,213.049805
2399,0.541304,0.590000,2.986877,2.563528,5.550405,212.159180
2499,0.545417,0.640000,3.133669,2.691579,5.825247,213.049805
2599,0.549200,0.640000,3.305326,2.842266,6.147592,213.338867
2699,0.545769,0.460000,3.452188,2.972492,6.424680,212.448242
2799,0.542593,0.460000,3.597428,3.099679,6.697107,213.338867
2899,0.541071,0.500000,3.753759,3.237764,6.991523,212.448242
2999,0.541724,0.560000,3.910190,3.374946,7.285136,213.338867
3099,0.539000,0.460000,4.056628,3.503386,7.560015,212.461914
3199,0.540323,0.580000,4.207917,3.635693,7.843610,213.352539
3299,0.538438,0.480000,4.391346,3.795041,8.186387,212.461914
3399,0.535455,0.440000,4.537829,3.923957,8.461786,212.461914
3499,0.534706,0.510000,4.683182,4.051527,8.734708,213.352539
3599,0.533429,0.490000,4.836598,4.188217,9.024815,212.448242
3699,0.531667,0.470000,4.996133,4.328085,9.324219,213.338867
3799,0.534324,0.630000,5.141209,4.455772,9.596981,212.448242
3899,0.536053,0.600000,5.287923,4.583494,9.871417,213.338867
3999,0.537692,0.600000,5.466665,4.741170,10.207835,212.448242
4099,0.537750,0.540000,5.634385,4.885998,10.520383,213.338867
4199,0.536341,0.480000,5.780097,5.013327,10.793424,213.338867
4299,0.539048,0.650000,5.928671,5.142254,11.070925,212.448242
4399,0.539070,0.540000,6.089342,5.283982,11.373324,213.338867
4499,0.538182,0.500000,6.234802,5.411679,11.646482,212.448242
4599,0.538000,0.530000,6.383232,5.541464,11.924696,213.338867
4699,0.536739,0.480000,6.540660,5.678987,12.219646,212.448242
4799,0.537872,0.590000,6.706359,5.825767,12.532126,213.338867
4899,0.537708,0.530000,6.854069,5.954110,12.808178,212.448242
4999,0.537347,0.520000,7.003656,6.084533,13.088189,212.448242
5099,0.534200,0.380000,7.173271,6.232917,13.406187,213.338867
5199,0.532353,0.440000,7.319112,6.361212,13.680324,212.583008
5299,0.533077,0.570000,7.465142,6.489896,13.955038,213.473633
5399,0.532830,0.520000,7.628016,6.633545,14.261561,212.583008
5499,0.531667,0.470000,7.791473,6.774622,14.566095,213.473633
5599,0.530545,0.470000,7.941310,6.905423,14.846733,212.583008
5699,0.530536,0.530000,8.089608,7.033724,15.123332,213.473633
5799,0.528947,0.440000,8.271180,7.192015,15.463195,213.473633
5899,0.529138,0.540000,8.417924,7.321661,15.739585,212.583008
5999,0.528475,0.490000,8.564077,7.450191,16.014269,213.473633
6099,0.528667,0.540000,8.719705,7.584856,16.304561,212.583008
6199,0.529672,0.590000,8.875884,7.719231,16.595114,213.487305
6299,0.529839,0.540000,9.021732,7.847689,16.869421,212.596680
6399,0.530159,0.550000,9.168233,7.975609,17.143842,213.487305
6499,0.530625,0.560000,9.344476,8.132992,17.477468,212.596680
6599,0.530462,0.520000,9.490046,8.260794,17.750840,212.596680
6699,0.530758,0.550000,9.636173,8.388668,18.024840,213.487305
6799,0.530746,0.530000,9.811630,8.540593,18.352222,212.596680
6899,0.530882,0.540000,9.958828,8.668702,18.627530,213.487305
6999,0.529420,0.430000,10.106896,8.798114,18.905009,212.596680
7099,0.529857,0.560000,10.264326,8.935579,19.199905,213.487305
7199,0.530141,0.550000,10.444032,9.092902,19.536935,212.583008
7299,0.530556,0.560000,10.592288,9.220901,19.813190,213.473633
7399,0.530548,0.530000,10.738195,9.349228,20.087424,213.473633
7499,0.530270,0.510000,10.912129,9.501941,20.414071,212.583008
7599,0.530533,0.550000,11.058294,9.630392,20.688686,213.473633
7699,0.530921,0.560000,11.205240,9.758695,20.963934,212.583008
7799,0.531688,0.590000,11.363364,9.895412,21.258776,213.473633
7899,0.531667,0.530000,11.517783,10.030836,21.548619,212.583008
7999,0.531772,0.540000,11.664171,10.159379,21.823550,213.473633
8099,0.532625,0.600000,11.813669,10.288457,22.102125,212.583008
8199,0.531852,0.470000,11.994468,10.446067,22.440535,212.583008
8299,0.532317,0.570000,12.140784,10.574077,22.714860,213.473633
8399,0.531446,0.460000,12.287655,10.702642,22.990297,212.583008
8499,0.531667,0.550000,12.460727,10.852062,23.312789,213.473633
8599,0.532353,0.590000,12.607093,10.979412,23.586505,212.583008
8699,0.532907,0.580000,12.753464,11.106865,23.860329,213.473633
8799,0.533448,0.580000,12.910489,11.243288,24.153778,212.583008
8899,0.532500,0.450000,13.088084,11.397500,24.485584,213.473633
8999,0.532697,0.550000,13.235006,11.525623,24.760629,213.473633
9099,0.532444,0.510000,13.382115,11.655366,25.037482,212.583008
9199,0.532527,0.540000,13.548952,11.798214,25.347166,213.473633
9299,0.533043,0.580000,13.695151,11.925710,25.620861,212.583008
9399,0.532473,0.480000,13.842925,12.054360,25.897285,213.473633
9499,0.531383,0.430000,14.001215,12.192905,26.194120,212.583008
9599,0.531053,0.500000,14.152338,12.325544,26.477883,213.872070
9699,0.530937,0.520000,14.302399,12.453607,26.756005,212.981445
9799,0.531856,0.620000,14.449330,12.581651,27.030981,212.723633
9899,0.532551,0.600000,14.621460,12.732704,27.354164,213.614258
9999,0.533232,0.600000,14.769384,12.861487,27.630871,212.723633
10099,0.533200,0.530000,14.917511,12.989802,27.907313,213.614258
10199,0.533366,0.550000,15.068159,13.120004,28.188162,212.723633
10299,0.533922,0.590000,15.241180,13.270977,28.512157,213.776367
10399,0.534078,0.550000,15.414007,13.424326,28.838332,212.885742
10499,0.533846,0.510000,15.562699,13.552605,29.115304,213.776367
10599,0.533905,0.540000,15.708426,13.679653,29.388079,213.776367
10699,0.533774,0.520000,15.887920,13.835976,29.723896,212.885742
10799,0.533551,0.510000,16.034742,13.963745,29.998487,213.776367
10899,0.532315,0.400000,16.180677,14.091234,30.271910,213.776367
10999,0.531468,0.440000,16.344041,14.232476,30.576517,214.666992
11099,0.532000,0.590000,16.499243,14.367927,30.867170,213.776367
11199,0.530901,0.410000,16.645863,14.495974,31.141837,214.666992
11299,0.530893,0.530000,16.796442,14.625088,31.421530,213.776367
11399,0.530796,0.520000,16.983364,14.789172,31.772536,213.776367
11499,0.530614,0.510000,17.130783,14.917292,32.048075,214.666992
11599,0.531478,0.630000,17.277637,15.044576,32.322213,213.776367
11699,0.531293,0.510000,17.441229,15.188035,32.629264,214.666992
11799,0.531709,0.580000,17.598630,15.325726,32.924357,213.776367
11899,0.531780,0.540000,17.745304,15.454869,33.200173,214.666992
11999,0.531933,0.550000,17.891548,15.582805,33.474353,213.776367
12099,0.532833,0.640000,18.075699,15.741067,33.816766,214.666992
12199,0.533388,0.600000,18.222772,15.868700,34.091471,214.666992
12299,0.534344,0.650000,18.369170,15.997976,34.367146,213.790039
12399,0.534228,0.520000,18.544011,16.150075,34.694085,214.680664
12499,0.534597,0.580000,18.694141,16.281803,34.975945,213.790039
12599,0.534960,0.580000,18.843151,16.413629,35.256780,214.680664
12699,0.535397,0.590000,18.992729,16.542346,35.535075,213.790039
12799,0.535276,0.520000,19.154119,16.683285,35.837404,214.680664
12899,0.535625,0.580000,19.302379,16.812559,36.114938,213.790039
12999,0.535581,0.530000,19.448748,16.940583,36.389331,213.790039
13099,0.535231,0.490000,19.617020,17.085562,36.702582,214.680664
13199,0.535496,0.570000,19.764162,17.214595,36.978757,213.790039
13299,0.535379,0.520000,19.911274,17.341966,37.253240,214.680664
13399,0.535188,0.510000,20.075230,17.484422,37.559652,213.790039
13499,0.535522,0.580000,20.244735,17.632798,37.877532,214.680664
13599,0.536222,0.630000,20.391288,17.761017,38.152305,213.790039
13699,0.536103,0.520000,20.539659,17.888770,38.428429,214.680664
13799,0.535766,0.490000,20.711952,18.038562,38.750513,214.680664
13899,0.534928,0.420000,20.859463,18.168782,39.028245,213.790039
13999,0.534245,0.440000,21.005651,18.296333,39.301984,214.680664
14099,0.534429,0.560000,21.174254,18.442489,39.616744,213.790039
14199,0.534113,0.490000,21.321772,18.571390,39.893162,214.680664
14299,0.534296,0.560000,21.468296,18.699284,40.167580,213.790039
14399,0.533636,0.440000,21.619253,18.830502,40.449755,214.666992
14499,0.533542,0.520000,21.787482,18.975401,40.762883,213.776367
14599,0.533241,0.490000,21.934499,19.103151,41.037650,213.776367
14699,0.533493,0.570000,22.080862,19.230116,41.310978,214.666992
14799,0.533469,0.530000,22.251765,19.380048,41.631813,213.776367
14899,0.533446,0.530000,22.398618,19.508091,41.906709,214.666992
14999,0.533356,0.520000,22.544131,19.635069,42.179200,213.776367
