noise,samples,accuracy,training,testing,size,ram,cpu,std,
0,10,96.62,4.38,4.57,81.0977,604.0,34.5,5.96,vfdt
,100,96.71,4.04,4.18,81.0977,400.0,30.2,5.73,
,1000,96.76,4.07,4.12,81.0977,472.0,31.4,5.71,
15,10,82.97,4.68,4.28,60.2305,500.0,31.85,11.36,
,100,82.96,4.48,4.07,60.2305,396.0,29.3,11.23,
,1000,83.02,4.51,4.00,60.2305,444.0,32.55,11.22,
40,10,59.23,4.79,3.88,52.9336,492.0,34.0,19.05,
,100,59.23,4.52,3.62,52.9336,416.0,31.15,19.13,
,1000,59.31,4.45,3.47,52.9336,428.0,36.1,19.14,
0,10,97.01,27.62,5.63,190.8467,1308.0,32.8,18.52,hat
,100,97.20,25.59,5.43,178.4404,940.0,32.2,18.42,
,1000,96.96,26.28,5.21,152.2490,972.0,33.8,18.41,
15,10,83.20,28.58,5.29,318.3740,1356.0,32.55,17.41,
,100,83.09,27.24,4.95,321.1299,1216.0,32.25,17.26,
,1000,83.13,28.52,5.10,304.4307,1048.0,32.45,17.25,
40,10,59.04,26.09,5.07,247.7080,1144.0,33.1,19.20,
,100,59.21,26.20,4.93,247.3232,1092.0,30.7,19.24,
,1000,59.36,26.31,4.83,260.4287,1164.0,30.95,19.24,
0,10,96.77,3.64,53.56,208.1758,2096.0,33.2,18.95,knn
,100,96.79,3.62,53.13,207.2383,2064.0,30.35,18.91,
,1000,96.84,3.65,53.13,208.2930,1660.0,31.9,18.90,
15,10,82.11,3.76,55.58,209.1133,2540.0,34.35,18.24,
,100,82.14,3.68,53.73,208.8789,2000.0,31.65,18.14,
,1000,82.19,3.70,53.65,209.1836,1452.0,34.2,18.13,
40,10,53.84,3.72,54.55,208.1758,2512.0,37.85,19.83,
,100,53.84,3.67,53.64,207.2852,1992.0,31.3,19.90,
,1000,53.93,3.67,53.50,209.1602,1432.0,32.7,19.91,
0,10,96.77,61.69,53.57,212.7158,2292.0,30.85,19.73,knnadwin
,100,96.79,61.26,53.08,214.9893,2048.0,36.5,19.70,
,1000,96.84,62.91,53.79,212.8330,2140.0,31.6,19.70,
15,10,82.12,64.79,56.44,212.6924,2148.0,35.3,19.18,
,100,82.12,61.53,53.40,214.9893,2144.0,36.3,19.10,
,1000,82.21,63.88,54.57,213.4893,2156.0,33.9,19.09,
40,10,53.81,64.80,56.41,212.9951,2188.0,31.3,20.17,
,100,53.81,63.24,54.92,215.2217,2160.0,30.35,20.21,
,1000,53.87,63.57,54.43,213.0889,2068.0,34.25,20.22,
