id,mean_acc_[M0],current_acc_[M0],training_time_[M0],testing_time_[M0],total_running_time_[M0],model_size_[M0]
1000,1.000000,1.000000,0.105895,0.000299,0.106194,5.250000
1999,0.933000,0.933000,0.207851,0.113338,0.321189,5.250000
2999,0.933000,0.933000,0.310222,0.227192,0.537414,5.250000
3999,0.933000,0.933000,0.408977,0.330090,0.739067,15.576172
4999,0.944000,0.977000,0.517290,0.444068,0.961358,15.576172
5999,0.947800,0.963000,0.615930,0.544957,1.160888,18.525391
6999,0.950333,0.963000,0.711677,0.646297,1.357974,19.169922
7999,0.955000,0.983000,0.806903,0.742447,1.549350,19.169922
8999,0.956125,0.964000,0.912612,0.849740,1.762351,19.169922
9999,0.957778,0.971000,1.020120,0.961961,1.982081,19.169922
10999,0.958700,0.967000,1.114279,1.059185,2.173464,22.763672
11999,0.958182,0.953000,1.206203,1.151880,2.358082,29.306641
12999,0.958917,0.967000,1.303332,1.249981,2.553314,36.238281
13999,0.960615,0.981000,1.414788,1.366220,2.781008,37.125000
14999,0.961571,0.974000,1.509384,1.465679,2.975063,40.050781
15999,0.963400,0.989000,1.593581,1.558940,3.152521,40.050781
16999,0.964562,0.982000,1.688074,1.654066,3.342141,40.050781
17999,0.965765,0.985000,1.783740,1.756824,3.540564,40.050781
18999,0.967056,0.989000,1.894416,1.869115,3.763531,42.990234
19999,0.968368,0.992000,1.995315,1.976693,3.972009,42.990234
20999,0.969300,0.987000,2.114012,2.094242,4.208254,45.939453
21999,0.970190,0.988000,2.200747,2.188004,4.388750,46.341797
22999,0.971136,0.991000,2.291383,2.283555,4.574938,46.341797
23999,0.971783,0.986000,2.383829,2.377800,4.761629,46.341797
24999,0.972458,0.988000,2.482149,2.478080,4.960228,46.341797
25999,0.973240,0.992000,2.594808,2.595983,5.190792,46.583984
26999,0.973615,0.983000,2.689898,2.695530,5.385427,46.583984
27999,0.974037,0.985000,2.777117,2.790451,5.567568,46.583984
28999,0.974571,0.989000,2.864224,2.884674,5.748898,46.583984
29999,0.975103,0.990000,2.962768,2.980582,5.943350,46.583984
30999,0.975333,0.982000,3.074502,3.093735,6.168237,48.646484
31999,0.975516,0.981000,3.168395,3.195367,6.363763,49.533203
32999,0.975969,0.990000,3.256775,3.286070,6.542845,49.935547
33999,0.976455,0.992000,3.342325,3.376218,6.718543,49.935547
34999,0.976853,0.990000,3.437673,3.468251,6.905924,50.345703
35999,0.977257,0.991000,3.534739,3.563012,7.097750,50.626953
36999,0.977583,0.989000,3.648907,3.684304,7.333211,50.626953
37999,0.977865,0.988000,3.745378,3.777611,7.522989,50.869141
38999,0.978211,0.991000,3.837388,3.871969,7.709357,50.869141
39999,0.978385,0.985000,3.930082,3.969659,7.899741,53.576172
