id,mean_acc_[M0],current_acc_[M0],training_time_[M0],testing_time_[M0],total_running_time_[M0],model_size_[M0]
100,1.000000,1.000000,0.003065,0.000938,0.004004,22.675781
199,0.900000,0.900000,0.008973,0.049610,0.058582,43.042969
299,0.915000,0.930000,0.014495,0.103731,0.118226,63.933594
399,0.920000,0.930000,0.019467,0.159412,0.178879,84.519531
499,0.932500,0.970000,0.024610,0.223941,0.248552,104.847656
599,0.940000,0.970000,0.029524,0.300873,0.330397,125.339844
699,0.941667,0.950000,0.034564,0.386692,0.421256,145.761719
799,0.944286,0.960000,0.039654,0.478934,0.518588,166.699219
899,0.947500,0.970000,0.044772,0.577936,0.622708,187.261719
999,0.950000,0.970000,0.049892,0.691625,0.741517,207.589844
1099,0.953000,0.980000,0.059464,0.822811,0.882275,208.480469
1199,0.954545,0.970000,0.070205,0.975242,1.045447,207.261719
1299,0.955833,0.970000,0.079631,1.104790,1.184422,208.175781
1399,0.955385,0.950000,0.089176,1.235048,1.324224,207.261719
1499,0.955714,0.960000,0.098651,1.366448,1.465099,208.175781
1599,0.956000,0.960000,0.107660,1.496060,1.603720,207.566406
1699,0.958125,0.990000,0.116516,1.623585,1.740100,208.457031
1799,0.958235,0.960000,0.126901,1.777096,1.903997,208.457031
1899,0.958889,0.970000,0.135949,1.907324,2.043273,207.566406
1999,0.960526,0.990000,0.144928,2.037552,2.182480,208.457031
2099,0.960000,0.950000,0.154015,2.167276,2.321291,207.566406
2199,0.960952,0.980000,0.163076,2.296127,2.459202,208.457031
2299,0.960909,0.960000,0.171934,2.424275,2.596210,207.566406
2399,0.961739,0.980000,0.181179,2.556855,2.738034,208.457031
2499,0.959583,0.910000,0.190918,2.698024,2.888942,207.566406
2599,0.958800,0.940000,0.199899,2.827120,3.027019,207.566406
2699,0.958846,0.960000,0.208790,2.955079,3.163869,208.457031
2799,0.959259,0.970000,0.217690,3.083114,3.300803,207.566406
2899,0.960714,1.000000,0.226569,3.210515,3.437084,208.457031
2999,0.960345,0.950000,0.235601,3.337570,3.573171,207.566406
3099,0.961333,0.990000,0.245368,3.477595,3.722963,208.457031
3199,0.961613,0.970000,0.254269,3.607355,3.861624,207.566406
3299,0.961562,0.960000,0.263047,3.734523,3.997570,208.457031
3399,0.962424,0.990000,0.271844,3.861981,4.133825,208.457031
3499,0.962941,0.980000,0.280659,3.990555,4.271214,207.566406
3599,0.963143,0.970000,0.289430,4.118136,4.407565,208.457031
3699,0.962778,0.950000,0.299754,4.271048,4.570802,207.566406
3799,0.961622,0.920000,0.310251,4.425311,4.735562,208.457031
3899,0.961579,0.960000,0.319139,4.553581,4.872720,207.566406
3999,0.961026,0.940000,0.328030,4.681318,5.009348,208.457031
4099,0.961500,0.980000,0.336867,4.808946,5.145813,207.566406
4199,0.961951,0.980000,0.345654,4.936810,5.282463,207.566406
4299,0.962619,0.990000,0.354582,5.064707,5.419289,208.457031
4399,0.962791,0.970000,0.365133,5.221252,5.586385,207.566406
4499,0.962955,0.970000,0.374070,5.350912,5.724982,208.457031
4599,0.963556,0.990000,0.383001,5.478531,5.861532,207.566406
4699,0.964130,0.990000,0.391799,5.606203,5.998002,208.457031
4799,0.964681,0.990000,0.400590,5.734447,6.135036,207.566406
4899,0.965000,0.980000,0.409430,5.862027,6.271457,208.457031
4999,0.965306,0.980000,0.418604,5.995984,6.414588,208.457031
5099,0.965400,0.970000,0.429395,6.158419,6.587814,207.566406
5199,0.965294,0.960000,0.438351,6.288027,6.726378,208.457031
5299,0.965769,0.990000,0.447077,6.415205,6.862282,207.566406
5399,0.965849,0.970000,0.456012,6.543527,6.999539,208.457031
5499,0.965741,0.960000,0.464991,6.671770,7.136762,207.566406
5599,0.965455,0.950000,0.473781,6.798873,7.272654,208.457031
5699,0.965000,0.940000,0.485049,6.971846,7.456895,207.566406
5799,0.965263,0.980000,0.493878,7.100125,7.594004,207.566406
5899,0.965690,0.990000,0.502910,7.229025,7.731935,208.457031
5999,0.964915,0.920000,0.511659,7.356029,7.867688,207.566406
6099,0.965167,0.980000,0.520687,7.484254,8.004941,208.457031
6199,0.964918,0.950000,0.529497,7.611543,8.141040,207.566406
6299,0.965323,0.990000,0.539263,7.753394,8.292657,208.457031
6399,0.965397,0.970000,0.550145,7.922500,8.472645,207.566406
6499,0.965000,0.940000,0.558911,8.050071,8.608982,208.457031
6599,0.965231,0.980000,0.567757,8.177647,8.745404,208.457031
6699,0.965152,0.960000,0.576530,8.305473,8.882003,207.566406
