id,mean_acc_[M0],current_acc_[M0],training_time_[M0],testing_time_[M0],total_running_time_[M0],model_size_[M0]
10,1.000000,1.000000,0.002625,0.000449,0.003074,8.372070
19,0.700000,0.700000,0.004882,0.002118,0.007000,8.932617
29,0.700000,0.700000,0.006961,0.003704,0.010665,8.932617
39,0.733333,0.800000,0.009481,0.005205,0.014685,9.516602
49,0.775000,0.900000,0.011379,0.006629,0.018009,9.516602
59,0.780000,0.800000,0.013330,0.008060,0.021389,9.516602
69,0.783333,0.800000,0.015886,0.009551,0.025437,9.516602
79,0.771429,0.700000,0.017910,0.010984,0.028894,10.049805
89,0.800000,1.000000,0.019803,0.012386,0.032189,10.049805
99,0.811111,0.900000,0.022433,0.013794,0.036227,10.049805
109,0.800000,0.700000,0.024337,0.015194,0.039531,10.049805
119,0.809091,0.900000,0.026246,0.016606,0.042852,10.063477
129,0.816667,0.900000,0.028908,0.018013,0.046920,10.049805
139,0.807692,0.700000,0.030857,0.019412,0.050270,10.049805
149,0.814286,0.900000,0.032756,0.020812,0.053568,10.049805
159,0.800000,0.600000,0.038394,0.022234,0.060629,10.643555
169,0.793750,0.700000,0.040290,0.023653,0.063943,10.643555
179,0.776471,0.500000,0.042244,0.025093,0.067336,10.643555
189,0.783333,0.900000,0.044181,0.026501,0.070683,10.643555
199,0.778947,0.700000,0.046962,0.027923,0.074884,10.629883
209,0.780000,0.800000,0.048881,0.029332,0.078214,10.643555
219,0.780952,0.800000,0.050868,0.030742,0.081610,10.657227
229,0.786364,0.900000,0.053632,0.032168,0.085800,10.657227
239,0.791304,0.900000,0.055571,0.033580,0.089151,10.657227
249,0.779167,0.500000,0.057465,0.034992,0.092457,10.657227
259,0.788000,1.000000,0.060350,0.036409,0.096759,10.659180
269,0.788462,0.800000,0.062266,0.037822,0.100088,10.659180
279,0.792593,0.900000,0.064191,0.039227,0.103418,10.659180
289,0.796429,0.900000,0.067045,0.040638,0.107683,10.659180
299,0.800000,0.900000,0.071860,0.042044,0.113903,10.659180
309,0.800000,0.800000,0.073755,0.043453,0.117208,10.659180
319,0.800000,0.800000,0.076654,0.044863,0.121517,11.219727
329,0.800000,0.800000,0.078556,0.046267,0.124824,11.219727
339,0.800000,0.800000,0.080517,0.047668,0.128185,11.219727
349,0.802941,0.900000,0.082450,0.049068,0.131518,11.219727
359,0.805714,0.900000,0.085287,0.050472,0.135759,11.219727
369,0.805556,0.800000,0.087198,0.051869,0.139067,11.219727
379,0.808108,0.900000,0.089199,0.053299,0.142498,11.219727
389,0.805263,0.700000,0.092014,0.054708,0.146723,11.219727
399,0.810256,1.000000,0.093935,0.056097,0.150031,11.219727
409,0.807500,0.700000,0.095834,0.057502,0.153336,11.219727
419,0.804878,0.700000,0.098805,0.058909,0.157715,11.219727
429,0.804762,0.800000,0.100719,0.060312,0.161031,11.219727
439,0.809302,1.000000,0.102625,0.061713,0.164338,11.219727
449,0.806818,0.700000,0.108389,0.063156,0.171545,11.233398
459,0.806667,0.800000,0.110343,0.064552,0.174895,11.233398
469,0.808696,0.900000,0.112228,0.065950,0.178178,11.233398
479,0.808511,0.800000,0.115234,0.067353,0.182587,11.233398
489,0.802083,0.500000,0.117125,0.068754,0.185879,11.233398
499,0.802041,0.800000,0.119079,0.070152,0.189232,11.233398
509,0.800000,0.700000,0.121032,0.071550,0.192582,11.219727
519,0.801961,0.900000,0.123977,0.072951,0.196928,11.219727
529,0.801923,0.800000,0.125887,0.074351,0.200239,11.219727
539,0.800000,0.700000,0.127858,0.075746,0.203604,11.219727
549,0.800000,0.800000,0.130987,0.077396,0.208383,11.219727
559,0.803636,1.000000,0.133170,0.078997,0.212166,11.219727
569,0.805357,0.900000,0.135296,0.080576,0.215872,11.219727
579,0.807018,0.900000,0.138492,0.082157,0.220650,11.219727
589,0.805172,0.700000,0.143270,0.083579,0.226848,11.219727
599,0.803390,0.700000,0.145181,0.084977,0.230158,11.219727
609,0.801667,0.700000,0.148248,0.086397,0.234645,11.219727
619,0.804918,1.000000,0.150210,0.087799,0.238010,11.219727
629,0.803226,0.700000,0.152102,0.089200,0.241302,11.219727
639,0.801587,0.700000,0.155152,0.090652,0.245804,11.790039
649,0.803125,0.900000,0.157051,0.092062,0.249114,11.790039
659,0.803077,0.800000,0.159006,0.093461,0.252467,11.790039
669,0.801515,0.700000,0.160979,0.094886,0.255865,11.790039
679,0.802985,0.900000,0.163955,0.096298,0.260253,11.790039
689,0.804412,0.900000,0.165933,0.097743,0.263676,11.790039
699,0.800000,0.500000,0.167972,0.099143,0.267115,11.790039
709,0.801429,0.900000,0.170923,0.100552,0.271475,11.790039
719,0.804225,1.000000,0.172904,0.101988,0.274891,11.790039
729,0.801389,0.600000,0.174794,0.103389,0.278183,11.790039
739,0.800000,0.700000,0.180785,0.104844,0.285629,11.790039
749,0.798649,0.700000,0.182701,0.106284,0.288985,11.790039
759,0.796000,0.600000,0.184665,0.107691,0.292356,11.790039
769,0.797368,0.900000,0.187701,0.109097,0.296798,11.790039
779,0.800000,1.000000,0.189656,0.110498,0.300154,11.790039
789,0.800000,0.800000,0.191562,0.111918,0.303480,11.790039
799,0.801266,0.900000,0.194617,0.113318,0.307934,11.790039
