id,mean_acc_[M0],current_acc_[M0],training_time_[M0],testing_time_[M0],total_running_time_[M0],model_size_[M0]
10,1.000000,1.000000,0.004105,0.000557,0.004662,5.889648
19,0.600000,0.600000,0.008423,0.003974,0.012398,8.409180
29,0.600000,0.600000,0.013161,0.007827,0.020988,10.620117
39,0.666667,0.800000,0.017905,0.011775,0.029681,13.364258
49,0.650000,0.600000,0.022746,0.015285,0.038032,15.579102
59,0.660000,0.700000,0.027198,0.018700,0.045898,17.682617
69,0.700000,0.900000,0.031945,0.022535,0.054480,19.635742
79,0.700000,0.700000,0.037984,0.026728,0.064713,22.112305
89,0.725000,0.900000,0.043330,0.031209,0.074539,24.088867
99,0.744444,0.900000,0.049076,0.035991,0.085067,26.032227
109,0.740000,0.700000,0.055389,0.040235,0.095624,27.807617
119,0.745455,0.800000,0.060909,0.044387,0.105296,29.643555
129,0.750000,0.800000,0.067402,0.049521,0.116923,31.409180
139,0.746154,0.700000,0.075430,0.054675,0.130105,34.182617
149,0.750000,0.800000,0.082701,0.060750,0.143451,36.252930
159,0.733333,0.500000,0.089662,0.066507,0.156169,40.182617
169,0.725000,0.600000,0.096221,0.071115,0.167336,42.182617
179,0.717647,0.600000,0.102037,0.075763,0.177800,44.041992
189,0.727778,0.900000,0.110560,0.082560,0.193120,45.868164
199,0.726316,0.700000,0.116728,0.087903,0.204630,47.961914
209,0.735000,0.900000,0.126184,0.094591,0.220774,49.821289
219,0.742857,0.900000,0.132345,0.099710,0.232054,51.526367
229,0.750000,0.900000,0.137800,0.104195,0.241995,53.502930
239,0.756522,0.900000,0.144619,0.108958,0.253577,55.362305
249,0.754167,0.700000,0.151165,0.114433,0.265599,57.315430
259,0.756000,0.800000,0.157361,0.119677,0.277038,59.340820
269,0.753846,0.700000,0.164312,0.124718,0.289029,61.364258
279,0.759259,0.900000,0.170330,0.129849,0.300180,63.364258
289,0.760714,0.800000,0.176396,0.134993,0.311389,65.926758
299,0.762069,0.800000,0.183600,0.140179,0.323780,67.950195
309,0.763333,0.800000,0.189833,0.145421,0.335254,70.020508
319,0.764516,0.800000,0.196151,0.150770,0.346921,72.370117
329,0.765625,0.800000,0.203380,0.156141,0.359521,74.393555
339,0.766667,0.800000,0.209763,0.161541,0.371304,76.463867
349,0.770588,0.900000,0.216177,0.167005,0.383182,78.510742
359,0.774286,0.900000,0.222658,0.172548,0.395206,80.510742
369,0.772222,0.700000,0.230540,0.178336,0.408875,82.510742
379,0.778378,1.000000,0.238063,0.184703,0.422766,84.524414
389,0.773684,0.600000,0.245523,0.191471,0.436994,86.500977
399,0.779487,1.000000,0.253657,0.197687,0.451344,88.477539
409,0.777500,0.700000,0.260783,0.203708,0.464492,90.454102
419,0.775610,0.700000,0.267690,0.209678,0.477368,92.500977
