noise,samples,accuracy,training,testing,size,ram,cpu,std,
0,10,97.74,4.12,4.24,53.5762,316.0,30.25,5.01,vfdt
,100,97.76,3.94,4.08,53.5762,412.0,30.25,4.82,
,1000,97.84,3.93,3.97,53.5762,404.0,32.1,4.80,
15,10,83.51,4.68,4.19,62.9629,436.0,34.65,11.27,
,100,83.51,4.49,3.98,62.9629,444.0,32.0,11.16,
,1000,83.59,4.46,3.88,62.9629,480.0,32.55,11.14,
40,10,59.05,4.70,3.87,52.1816,388.0,32.3,19.32,
,100,59.05,4.44,3.61,52.1816,380.0,31.9,19.42,
,1000,59.14,4.48,3.57,52.1816,384.0,32.55,19.42,
0,10,98.01,28.26,5.34,268.8545,1188.0,31.75,18.77,hat
,100,97.99,27.78,5.19,248.2178,1052.0,30.6,18.67,
,1000,98.00,27.73,5.08,259.7158,1100.0,30.95,18.66,
15,10,83.76,28.22,5.37,269.1768,1172.0,32.35,17.59,
,100,83.76,28.05,5.11,301.3369,1120.0,29.55,17.44,
,1000,83.58,27.89,4.92,279.1631,1116.0,38.45,17.42,
40,10,59.07,26.00,4.98,260.0537,1168.0,33.75,19.41,
,100,59.06,26.50,4.91,258.0166,1068.0,30.05,19.45,
,1000,59.23,25.99,4.83,249.5498,1108.0,30.95,19.46,
0,10,96.77,3.73,54.38,207.8711,2212.0,34.7,19.09,knn
,100,96.79,3.64,52.95,207.5664,2092.0,29.35,19.04,
,1000,96.83,3.64,53.09,207.9414,1596.0,35.4,19.03,
15,10,81.77,3.82,55.45,207.5664,2240.0,34.55,18.38,
,100,81.78,3.67,53.61,207.5664,2576.0,37.35,18.28,
,1000,81.84,3.67,53.23,208.8320,1596.0,36.05,18.27,
40,10,53.39,3.84,55.96,207.5664,2236.0,32.7,20.05,
,100,53.39,3.63,53.23,207.5664,2060.0,30.45,20.12,
,1000,53.46,3.64,53.29,208.8320,1580.0,33.7,20.13,
0,10,96.77,63.30,55.06,213.0205,2240.0,33.5,19.92,knnadwin
,100,96.79,61.51,53.38,215.2471,2176.0,36.85,19.89,
,1000,96.83,62.88,53.79,213.7236,2240.0,32.3,19.88,
15,10,81.77,65.43,56.90,213.0205,2440.0,35.7,19.36,
,100,81.78,62.20,53.99,215.2471,2168.0,32.5,19.29,
,1000,81.84,63.88,54.65,214.6143,2192.0,33.45,19.28,
40,10,53.39,64.25,55.84,212.7607,2228.0,33.3,20.39,
,100,53.39,61.59,53.47,214.9639,2196.0,37.0,20.44,
,1000,53.46,62.09,53.17,212.8311,2180.0,33.25,20.45,
